bench,CRuby 3.3.4 (ms),CRuby 3.3.4 RSD,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,CRuby 3.4.0dev spd,CRuby 3.4.0dev spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,340.8734824578821,0.05750703222957267,351.78342260497845,0.04972779960716124,143.8402613332199,0.04684151832963595,0.9689867701374114,0.07602573781044875,2.3698057782877333,0.0741699844632499,99.932972417597
chunky-png,839.3485746776518,0.1070004402965364,847.0051012582483,0.09414260573583409,426.6119562861214,0.12793565676185364,0.9909604717029182,0.14251990891936941,1.9674755062765161,0.16678317209700588,99.99623907515152
erubi-rails,1466.7937628749994,0.27757329642562545,1525.7309718666268,0.09211160889180713,641.8382830000155,0.08429257800681407,0.9613711656390368,0.29245766083524877,2.285301144735494,0.29008994052814546,99.53278265686197
hexapdf,2788.3867536000253,0.5942002475975763,2773.712278700077,0.35573586308828353,1395.5288225999539,1.7686464636059323,1.005290554111411,0.6925474269190429,1.9980861078921277,1.8657931952579285,98.05194937778671
liquid-c,69.98167407066762,0.41015406690417344,70.9129682822765,0.5791961154960088,44.691053175802885,0.2294342214232291,0.9868670818022769,0.7097143783267316,1.5658989685335467,0.46996427583180883,99.75918634664342
liquid-compile,72.14786470802547,0.21951269443415447,73.34610255941806,0.21418726435623722,49.45889854315505,0.2131398684865776,0.9836632375875475,0.30669530030659276,1.4587438627464238,0.3059647472442178,99.95725064217848
liquid-render,175.04407863471314,0.15217339153580653,175.88563456024258,0.10201149568834827,64.56381840823141,0.4364516507244856,0.9952153231408948,0.1832023098764963,2.7111791549862283,0.4622194116560211,99.89303746920095
lobsters,1195.0442303001182,0.6238641517484949,1229.8159257499265,0.4175325056843979,719.5936560005066,1.243120441761544,0.9717260976039118,0.7506929286598888,1.6607209087169563,1.3908827817477234,99.43421802738715
mail,154.83221856380197,0.09989174136701082,157.35972288715152,0.16697067640049784,105.5001051716653,0.18987678955564777,0.9839380479516852,0.1945702103893953,1.4676025043943373,0.21454965673543624,99.87865380702135
psych-load,2375.1405977001014,0.04349475008511738,2366.2200815000233,0.09860490949902795,1419.3311242001073,0.022461501439089124,1.00376994357787,0.10777161714606638,1.6734224714748362,0.04895214328162783,99.99736317465398
railsbench,3528.33483100012,0.02584801498934082,3520.589728199775,0.4161222737761995,1738.5145731000193,0.04816855210723744,1.0021999447246883,0.4169242936212323,2.029511219286817,0.05466561342376792,99.60237501133487
rubocop,184.57839392952408,0.8666681470093422,185.5756318322223,0.6780123475556359,89.2756994549052,1.2348674583246328,0.9946262454135152,1.1003701288559733,2.0675099165451853,1.5086455238622973,99.84037795007929
ruby-lsp,201.35676627772784,0.10889370071676638,186.1982936218341,0.1411057814996777,121.94090432816526,0.1118592189910149,1.0814103736454233,0.17823770540608816,1.651265154929801,0.1561099706267108,99.75384927174869
sequel,69.19223021675582,0.34828892290310504,71.32043863221217,0.3095691556383868,47.87123672094365,0.4254148604583082,0.9701599084880678,0.46598093945961866,1.445382132492187,0.5498026712519383,99.0240990903188
binarytrees,340.6832174285964,1.3011451347879752,342.05043845805085,0.14776170634789187,151.4532680811302,0.1617510902672389,0.9960028671922836,1.3095083747900427,2.249427970389519,1.311160583980871,99.99458296879774
blurhash,346.6138437683318,0.11952933707889063,344.8381451829757,0.15952971185434547,154.40603381377576,0.059415510854046893,1.0051493682185706,0.19934139406267218,2.244820588982758,0.13348207876927307,99.99350684035329
erubi,404.7009315073555,0.5309658613791604,205.46892066667047,0.15631269614947269,174.67383480332083,0.10920444977753394,1.9696454830942365,0.5534965265723274,2.3168949829437278,0.5420796600144001,99.97780831398637
etanni,316.8841152666876,0.27619756538496576,295.70068275262605,0.27479491924156907,271.68715673784004,0.0844582404797714,1.0716380913187913,0.38961178468516955,1.1663566252874427,0.2888222455239924,99.97685781130642
fannkuchredux,526.6633182691294,0.18221103977070843,509.064301833287,0.565771513783871,118.73089411111087,0.12380425118267396,1.034571303413858,0.5943889878048008,4.435773201339382,0.22029152417926867,55.72250674080544
fluentd,455.9719480492903,0.43440179889966635,456.4919759999999,0.08273061477957591,400.88294939137677,0.08772020600523942,0.9988608168860571,0.4422095402736951,1.1374191612328486,0.4431701224460735,99.96606223587341
graphql,334.5232081647041,0.07737146641372264,341.4056165179263,0.10634496940933955,282.381535517873,0.23730865723804453,0.9798409632992642,0.13151272308671574,1.1846497241797558,0.24960317028261786,98.42292460816391
graphql-native,565.6897239582955,0.09626674084957801,541.1715947254789,0.05264991105806839,480.4611450770328,0.0270013481316212,1.0453056469921596,0.10972373730520815,1.1773891182555416,0.09998178931547894,99.96589529435039
lee,1097.8757508696815,1.8436773106481785,1100.9219105217198,0.8080277577422154,767.3593023998365,1.2104797780078973,0.9972330829072202,2.0129716548130556,1.4307192829176492,2.20554014217945,99.96527363338737
matmul,535.476260403864,0.16243750102742793,531.1131708653851,0.2786898309935667,201.81659157575416,0.3228708111599989,1.0082149902842172,0.3225739661523515,2.65328165649288,0.36142980292049975,99.819658038771
nbody,118.62134328629831,0.09875869415410239,113.36322229610862,0.3715486646473152,39.5987512776355,0.24749345670349812,1.0463829528103505,0.3844498535208807,2.9955829277195676,0.26647005607022684,99.75320621442722
nqueens,243.1920679243353,0.14057480551954196,238.81741085118816,0.12854513125112732,48.12983602666505,0.19272156523700962,1.0183179989162225,0.19048655258371022,5.052833917605728,0.23854324063837984,96.25265988583699
optcarrot,5601.273968799978,0.1451542596690554,5700.604443499923,0.12121430909587802,1393.1570542000372,1.3421678404689255,0.9825754486766389,0.18911020022638286,4.020561753546357,1.3499941744648718,99.5067904158307
protoboeuf,169.9965547965359,0.10112752001832584,169.4848014360454,0.09266831956618152,41.17232205752017,0.07859842168972138,1.003019464613667,0.1371648379005233,4.128903746527598,0.1280800031120087,99.98632424751843
protoboeuf-encode,163.4650785474516,0.22597566557600957,151.43896575773866,1.300526237993393,35.62478250759905,3.8493178909601986,1.0794122749685935,1.320012688250294,4.588521446063094,3.855945179472705,99.98445572411663
rack,51.121382309256944,0.5136419797940921,47.483035575771176,0.30516130030522737,27.40945992138688,0.3585474901786336,1.0766241393240301,0.5974541845286312,1.8650999492831406,0.6264059275902423,99.86348119124756
ruby-json,334.7528606234632,0.06185235729889972,343.7740871084162,0.08061663224517616,303.48816140810544,0.06670271418967577,0.9737582708434102,0.10161080404162114,1.1030178543713132,0.09096684112191832,99.97118937734946
rubykon,1193.202516952321,1.57383537261307,1188.0974767143146,1.3557165369775745,516.7485198001486,1.1321930631411534,1.0042968193587318,2.07723978122955,2.3090584128113023,1.9387673693130565,99.94551061429149
sudoku,569.5318078125334,0.10209511288639968,565.9179786123378,0.03711349901384788,142.91384037102299,0.053325882395017295,1.0063857826341847,0.10863159708085664,3.9851410215690413,0.11518273224964716,99.61558977099101
tinygql,733.31292952768,0.02724417346570274,737.5579550277962,0.04889064213105335,399.160372807693,0.05669413428872935,0.9942444855062865,0.055969097507607084,1.8371386026362255,0.06290047575796051,99.99302007883477
30k_ifelse,922.9983698571037,0.013127196092462438,928.1461783571428,0.009683646125378564,117.4784794635239,0.041383450183262005,0.9944536662218973,0.016312457801677845,7.856744265605576,0.04341558736583543,99.94037001062895
30k_methods,699.265764842075,0.02807563934562444,700.4345512894744,0.020105803778639544,56.55229570403452,0.20174013344943248,0.9983313409579129,0.03453237423419842,12.364940381937286,0.20368437094892772,99.94382981187522
cfunc_itself,85.81264667540698,1.1659142994008458,86.18650276163629,1.0121298771187985,25.04017395247495,0.026336168798471393,0.995662243225447,1.5439439891731435,3.4269988235015965,1.1662117077676535,94.17392734672615
fib,240.43834911666787,0.1868437021543207,234.05508133881145,0.2367208217348816,29.62992514952881,0.14786486875220112,1.0272725024440559,0.30157472784961625,8.114713348187161,0.23827418753578442,99.99514181989001
getivar,142.4357146407663,0.30134108357813855,136.8277372325052,0.45237847450756213,9.856823052303776,1.4088825018236997,1.0409856767471912,0.5435556391482254,14.450468866586345,1.440748538988346,71.35425765630416
keyword_args,267.6003626944226,0.33012932384955707,279.0963233689484,0.6288759936002072,23.1611292694848,0.02331316535983997,0.9588100604989739,0.7102607871704685,11.553856445462305,0.3309514679593686,95.6395478630504
object-new,91.97256662112167,0.14262938492951557,108.47970064335922,0.22150040966412382,81.16050584195041,0.19720281728733532,0.8478320466931702,0.26344937450437533,1.133218252732756,0.24337644214556609,85.4302922757668
respond_to,211.84071989050042,0.10117556763113573,207.58482574279438,0.1348182974190604,7.2539839174844305,0.6796932058890396,1.020501952069364,0.16855998577496603,29.203362221398958,0.6871821808059365,94.41152400018929
ruby-xor,121.00539275308748,0.4416848525144709,123.75370870163236,0.48915365662882576,20.97048226646815,0.34666730120445044,0.9777920518311818,0.6590575154977607,5.7702722910943915,0.5614835052475781,99.98742446753828
setivar,82.18417102770599,0.22226111121716827,83.13994023591874,0.1491345789105455,4.807574829162281,0.6214425594504338,0.9885040907474716,0.26765859632434036,17.094725292508148,0.6599930728847057,79.52079858600311
setivar_object,79.71328091132095,0.43632537178355757,84.51880256853266,5.331870386217914,31.049753831544297,4.176050487994811,0.9431425728811631,5.34969360295425,2.567275777572769,4.198782860347003,80.27666805834897
setivar_young,79.74322747311875,0.7096516504792423,86.03360690409149,2.052651065249883,31.153513072202784,0.6432287889723127,0.9268846250049109,2.1718613815571635,2.5596865203709855,0.9577832426967495,80.27666047083261
str_concat,74.4048956909668,0.7320546576555668,72.37132703901186,1.1393464245584406,24.734758888893797,0.5225071731453808,1.0280990930407943,1.3542578399069032,3.0081108138222237,0.8993985589178948,99.87314273311439
throw,23.594507994478832,0.8931727222650134,25.770804991391667,0.23468381087128207,20.402621825334638,0.5139146207092181,0.9155518425738042,0.923490120620336,1.156444901859658,1.0304687036378128,99.97851948362982
