bench,CRuby 3.2.0dev mem (MiB),MJIT mem (MiB),YJIT 3.2.0dev mem (MiB),Inline Code,Outlined Code,YJIT Mem overhead
activerecord,65.1171875,65.32421875,77.234375,2,1
hexapdf,282.30078125,,404.57421875,2,1
liquid-render,30.4921875,35.49609375,36.9453125,1,1
mail,49.73046875,53.80078125,57.546875,1,1
psych-load,36.76171875,44.9609375,41.2578125,1,1
railsbench,101.99609375,103.56640625,131.59375,3,2
binarytrees,30.65625,33.09375,33.05078125,1,1
chunky_png,41.375,50.4140625,46.546875,1,1
erubi,51.51171875,108.59765625,95.69921875,1,1
erubi_rails,101.734375,102.40625,122.04296875,2,2
fannkuchredux,25.03515625,27.40234375,27.375,1,1
lee,33.56640625,40.87890625,39.62890625,1,1
nbody,24.90625,26.875,27.640625,1,1
optcarrot,57.57421875,66.78125,65.36328125,1,1
rubykon,51.37890625,57.8359375,55.70703125,1,1
30k_ifelse,68.46484375,151.33203125,128.328125,6,5
30k_methods,58.41015625,174.85546875,79.76953125,3,2
cfunc_itself,25.0546875,26.8828125,27.36328125,1,1
fib,24.77734375,26.8046875,27.3671875,1,1
getivar,25.04296875,26.91015625,27.69921875,1,1
keyword_args,24.93359375,27.26953125,27.40625,1,1
respond_to,24.79296875,27.35546875,27.24609375,1,1
setivar,25.12109375,26.5390625,27.4453125,1,1
str_concat,112.83203125,110.2734375,110.95703125,1,1
