bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,202.9667419263778,1.7661914796391947,138.88110952128753,2.676340561129937,1.4614423993730215,3.206591826519146,99.95929935128314
chunky-png,2412.602466096481,0.2555726591624001,1490.4979934295018,0.4317314975818138,1.6186552928832192,0.5017065577761328,99.99205556964382
erubi-rails,6216.074272866051,0.6138798411579005,4342.360226996243,0.8120455188154082,1.4314966856551923,1.017971700985953,99.89363269488399
hexapdf,8482.89597183466,0.390139119521109,6098.064510524273,1.6474168955224335,1.3910800643703511,1.6929828588126576,94.53404211962686
liquid-c,233.81130127042798,0.27650837540696616,188.03483189998377,0.338081334603788,1.2434467534972076,0.4367560766350918,99.73598921420981
liquid-compile,208.56963911563412,0.09307478288144927,176.25176670969043,0.07478053585667042,1.183361977069855,0.11939448794412451,99.95073630808031
liquid-render,566.9355502808079,0.10837011543046872,321.33545097894967,0.16648531720311405,1.764310624780542,0.19864904420267068,99.85682097476136
lobsters,3060.1953437551856,1.7211749956457596,2304.469806266328,2.9598699933661954,1.3279390059413598,3.4239266556492973,99.30577709660055
mail,462.87965925027993,0.11029465538664107,355.8551786430427,0.1412581221432429,1.3007529102578923,0.1792170976170891,99.89913899447406
psych-load,7646.499380469322,0.09346898317388197,5239.501929593583,0.10491297492937458,1.4593943247316346,0.14051043777631259,99.99636637455735
railsbench,7387.512667477131,0.37373431195890383,5026.537429727614,0.5819944889886801,1.469702110201427,0.6916609871523695,99.54900617102189
ruby-lsp,205.0111874860401,2.264109194673055,162.4886613830717,3.1029835929473917,1.261695343792145,3.8411844037358804,92.81570277674663
sequel,231.08468748927635,0.9293673199222046,196.99823561056357,1.193285695811632,1.173029224211412,1.5124993775760809,99.89681466287827
binarytrees,1005.079080811006,0.09542085325287447,511.3369470847578,0.5037720506013396,1.9655905690781363,0.5127293810604043,99.99740265569709
erubi,687.1911733399463,0.40786200880117957,605.2193978471281,0.1300206400088609,1.1354414213827353,0.4280850208213869,99.98308666268225
etanni,955.6573572169457,0.05700873105109067,881.2033476269975,0.06662092739644174,1.0844912922657934,0.08768319897915194,99.97751820958273
fannkuchredux,5991.740609891713,0.8627231319270617,1996.1526387929916,0.11607411682317278,3.0016445102688754,0.8704966415548758,90.92010254305131
fluentd,5618.816209646563,0.5714840816422169,4867.402199469507,0.6883719801063294,1.154376807048933,0.8946787348350003,99.97965858906709
graphql,10945.063016501566,0.05416456925680521,8980.016216014823,0.14350493842292056,1.2188244155931822,0.15338666146227145,99.62652532058225
graphql-native,1253.0104839553435,0.1448376089662006,1104.3837479005258,0.07821044630577777,1.134578887399749,0.16460500260440136,99.93041122536137
lee,3399.67397103707,0.9333338860504903,2478.056812259768,1.1807703685895676,1.3719112306940489,1.5051015933116452,99.97596177360765
nbody,300.5984073954185,1.272498657914214,176.42531119013478,0.025419542681754573,1.7038281262911394,1.2727525240767055,99.94797724506971
optcarrot,17781.117735306423,0.7843589577990897,9788.886201940477,0.7113179233139616,1.8164597451119235,1.0588636185587645,99.49967961985399
rack,475.0843952720364,0.7140382718349295,407.5421389192343,1.1341368983098508,1.1657307304023043,1.3401929554183238,97.94129157636814
ruby-json,9924.422074606022,0.06932027527291591,8301.913380250335,0.045303257227587504,1.1954379213610589,0.082811144656633,99.99095049367064
rubykon,34312.533975206316,0.5852625677984773,21031.450549699366,0.8226515464342632,1.631486800880541,1.0095978605943814,99.94718463668387
tinygql,2484.7238042081394,0.29374871391715957,1459.7021146366994,0.15710913212363678,1.7022129236461059,0.33312398041063873,99.98621039011014
30k_ifelse,6427.144241603938,0.09811882034930881,1754.4495584781873,0.043744687867632234,3.663339427768362,0.10742858382840438,99.98545362893049
30k_methods,16620.580115719982,0.09705311317013433,3573.684582365272,0.07109555120959128,4.650824585285452,0.12030745686702267,99.98969598702514
cfunc_itself,283.40143612851267,0.23352834136859285,53.09484294324762,0.013469869988041954,5.337645247984569,0.2339164885591881,98.979930550219
fib,527.9802498490816,2.7490855794316276,145.31560969356048,0.007121481993214567,3.63333471856519,2.749094803484359,99.99943315526606
getivar,248.59597204328057,0.6884639435144526,66.58175386887012,0.012090759310180244,3.7336951581792146,0.6885701038965953,97.87932008159852
keyword_args,631.9884831420354,0.046804530490859475,96.39431398759768,0.009283036611933847,6.5562838408015285,0.04771623249176635,99.46477815170515
respond_to,750.9330846589775,0.8894437731518943,78.78891327016284,0.01854210775833787,9.530948625780246,0.8896370244986435,99.46707456056926
setivar,189.77838103957228,0.2452759815838628,38.29408736355339,0.015979610269698533,4.955814176686579,0.2457959623067451,98.734661348992
setivar_object,323.0401064339978,11.588557309267157,136.3674123567148,29.54251232163324,2.3688951843493062,31.734125083008376,95.69374145731192
setivar_young,312.8921984562977,4.625434248585958,127.42444887623411,17.297709245090232,2.455511491049934,17.905456908877586,95.68504918078133
str_concat,172.8424243503969,1.2232868857274624,99.20274245633975,0.16783766176037865,1.7423149811253131,1.2347470532453135,99.97288372944656
throw,63.059212639927864,0.18949675365127697,45.98909449940991,0.21717078509136123,1.3711775221131388,0.28822243067043024,99.98686952459248
