bench,No JIT (ms),No JIT RSD,YJIT 3.3 (ms),YJIT 3.3 RSD,YJIT 3.4dev (ms),YJIT 3.4dev RSD,YJIT 3.3 spd,YJIT 3.3 spd RSD,YJIT 3.4dev spd,YJIT 3.4dev spd RSD,% in YJIT
tinygql,2617.083329334855,0.4295757133569653,1404.3071965376537,0.08568980412388227,1474.1492975841868,0.08086723105097184,1.863611705321545,0.43803885220027566,1.7753176924641831,0.4371210388027518,99.97949904616785
30k_ifelse,7107.201497629285,0.045966022631623554,1559.0291660279036,0.045990890788685485,1513.1674587726593,0.0241497019796189,4.558735431317825,0.06502335943418891,4.69690347649558,0.05192382249291107,99.93971032827803
30k_methods,18745.200081542134,0.06699948573598556,3329.587097838521,0.08617404666400301,3327.248327806592,0.05361782689531069,5.6298872895414025,0.10915538194398067,5.633844617152293,0.08581260076388568,99.9760676063583
cfunc_itself,288.15009327311265,0.36526868243058264,48.84867847937605,14.034619406435658,43.2327966200265,13.818920427229271,5.898830884335384,14.039371891002281,6.665081044968403,13.82374706743649,89.82331214104549
fib,513.3363041950732,3.2010748350285922,115.26777268762133,0.049761930480590064,101.23648786534416,1.9441675750766003,4.453424337314368,3.201461595768171,5.070664885943771,3.7452193072545907,99.98715506612514
getivar,249.12925081344338,1.978795112758564,47.25296337999506,76.51706737937073,44.38884680469831,81.54584868650817,5.272246077140515,76.54264974795056,5.612428993921834,81.56985391737048,53.9639586721786
keyword_args,662.8133359675606,0.061327475059633665,78.10583413450544,8.872819283357142,66.1635003266258,16.86436186724035,8.486092534728392,8.873031223562302,10.017809406931098,16.864473375958934,92.20047544323141
respond_to,738.1956886139608,0.3021177925706033,40.43726802386087,12.00532348142803,35.12809848089418,15.350759771999197,18.25533040902696,12.009124325041979,21.014393620407834,15.353732469279793,89.96392643119361
ruby-xor,1857.9952955245972,2.195483203518959,538.5210051646699,0.042079649976454386,316.5005502893644,0.06575013548441064,3.4501816599641386,2.1958864255411776,5.870433065048079,2.196467522466492,99.99228924787946
setivar,192.28597563140247,2.1983043594425564,34.59398909431835,69.02627696790174,31.41977238838233,77.08834957851184,5.558363769704233,69.06127318625269,6.119903519813577,77.11968738782329,68.73874322127101
setivar_object,308.0144654112783,0.1860877498344884,130.52321995658,41.91002617866178,127.93097553236224,44.275197031181854,2.3598442140313636,41.91043930748942,2.4076613512054474,44.27558809096287,60.689888507684
setivar_young,308.7254216979173,0.06582217107384326,130.678683663336,42.19386977431789,128.00749412503853,44.51590787654479,2.3624772843081154,42.19392111537279,2.4117761527020622,44.515956539551375,61.3997769003019
str_concat,190.2178703882807,8.841107943051307,81.85311638111814,1.17411908325353,74.59683833187636,0.5970770100085452,2.323892831429936,8.918730026317931,2.5499454754639075,8.86124656109769,99.76108890043
throw,65.38656601196939,0.2836572147891272,50.45532147981163,0.2567570436048193,44.86400662315091,0.4517183616265577,1.2959300247077428,0.3826037048208134,1.457439291171742,0.5333956259030501,99.96537505024502
