bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,83.40779784708641,0.41623777794458716,38.90670190135447,0.8460715489931868,2.1437899840125674,0.9429161965964833,99.59531668019872
chunky-png,1136.9312027818523,0.1411513713552778,625.2738949260674,0.24876797587435306,1.81829309044844,0.2860231030110999,99.99630095534238
erubi-rails,1915.5716935172677,0.1317722338753942,1001.0823849588633,0.2156732403545784,1.9135005493039245,0.252742691735202,99.91993260411652
hexapdf,3606.47253729403,0.7920662004525113,1920.1839596033096,1.159839157776526,1.878191159371569,1.4044912736685262,97.48291705310243
liquid-c,84.5032202862743,1.0149154413701404,57.969105994139895,0.7228805137784781,1.4577285406957412,1.2460375557470904,99.75240293952184
liquid-compile,86.7066144723487,0.4879883307997465,55.91069150381209,3.0389380958535135,1.550805617677558,3.0778689643041175,99.96054689921783
liquid-render,206.61477090056198,0.3118407744838857,78.84692805132781,0.6851112300675287,2.620454290445657,0.7527430279951797,99.90626623199365
lobsters,1329.2162148686855,1.0078740945198792,850.0319353264312,1.2305048729882773,1.563725031528653,1.5905824193835925,99.49125989584302
mail,178.65643267479777,0.31964022859223096,123.24191185365791,0.39188991378927174,1.4496402237490533,0.5057149199541738,99.9029481738309
psych-load,2872.2817408541837,0.05888121551422149,1631.7830060919125,0.031111618705663098,1.7602105979355924,0.06659527279708946,99.99647789975994
railsbench,3426.4462385326624,0.1305947835154897,1903.6183089017868,0.24803236556968034,1.799964952275232,0.28031241829706577,99.84618177917064
rubocop,207.69924291821778,0.9490481162013236,109.32731928680438,1.656523593330137,1.8997926984137323,1.9091261723952848,99.93032098612348
ruby-lsp,142.08676283497635,1.1442831971543503,96.24280662434857,1.3661529980349731,1.4763364434036534,1.782065669196769,97.57610240389008
sequel,94.09290898887757,3.2252070186171533,69.46294368035241,0.5176594199755411,1.354577045019354,3.2664861224298445,98.64964783625544
binarytrees,506.53726136289447,1.0194770853293986,236.76773580352227,2.191421435522502,2.1393846574739217,2.416952923740806,99.99734033484147
blurhash,437.30249209329486,0.13194989095112553,196.3333896920085,0.19371480689319356,2.2273465189965838,0.23438472674575275,99.9971315055132
erubi,326.6264338953755,1.3029099208561785,262.74351061632234,0.13038745794889706,1.2431379680099492,1.3094178672432375,99.98335387199451
etanni,879.9974160113683,2.1788598094739484,830.6363765926411,0.08075993678303223,1.0594255691295527,2.180355988532618,99.967938893021
fannkuchredux,2193.341417076147,0.17814942971406245,864.0647465768068,0.07231712753726173,2.5383993800992095,0.1922680062898824,90.5665495457588
fluentd,2578.699575116237,0.6925788336370472,2276.3917272289596,0.6097759687332727,1.1328013295212926,0.9227633352310081,99.9891833794516
graphql,4363.044967502356,0.048418343322798714,3626.113067318996,0.05104019812632299,1.203229156538193,0.07035224086622054,99.75163982972666
graphql-native,671.733032629797,0.08589514683097604,601.5651423596975,0.09713596209698519,1.1166422143325312,0.12966638493311164,99.96759854126961
lee,1452.192910015583,0.957229567131545,992.735874094069,1.5416176119825802,1.4628190114926551,1.8146275942368224,99.96395853821842
matmul,2010.204336441615,0.05163169868052708,1133.3233383210265,0.233634219722874,1.7737253513367621,0.2392713541863148,99.84729450961403
nbody,150.15217445647028,0.27281153475829195,61.02133466236269,0.09518112348801686,2.460650447704523,0.28893871281919953,99.95178074071913
nqueens,253.69590886535255,0.6910989128111041,71.84872769417372,0.14151508581132372,3.5309728788130648,0.7054390312428682,99.32163711035494
optcarrot,7635.8993127942085,0.5895357031402244,2004.3593840052683,0.6338360832783307,3.8096458019098125,0.8656214679307889,99.50362221413607
protoboeuf,159.01410059748792,0.315243881951642,48.30106329038846,0.41764247878692834,3.2921449294291314,0.5232627878946015,99.99612364046865
rack,140.84043950473858,0.3708672084896319,111.60628079820825,0.4519602843748238,1.2619400852483176,0.5846456918382823,99.75195239277849
ruby-json,4100.506507481138,0.05411576269019913,3520.0277471294007,0.0912079266313116,1.164907438819231,0.10605376774035266,99.99084944435278
rubykon,13825.323693081737,0.6252059542912018,6615.080213795106,0.9435018842207419,2.089970680060745,1.1318472912938664,99.94865731844433
sudoku,2111.0725081712008,0.023617523499349046,839.9875052273273,0.03264593621444888,2.5132189407982652,0.04029323227987759,99.89526989904519
tinygql,935.4550363257146,0.11011275049053329,506.95189570960326,0.08763728304533946,1.8452540452902662,0.14073063348169573,99.99401703700863
30k_ifelse,2448.7398193641143,0.05445512288449085,359.71139252863145,0.06349711205890445,6.8075125509659955,0.08364952867880408,99.98547099892221
30k_methods,6762.586527949442,0.020649187801149205,832.8424420045769,0.01729815514474211,8.11988701208899,0.02693724425880823,99.9897139371965
cfunc_itself,115.7445730585177,0.1553966631621051,24.182397723558303,0.03512405714913713,4.786315004064309,0.1593167358206055,99.34719959965025
fib,269.08305815333944,0.07001336547887503,47.96096539611725,0.20502297125566654,5.610459587936556,0.21664784810419974,99.999402516243
getivar,146.86856235937861,0.4110631863199483,21.22149577411681,0.6249961446607518,6.920745074836316,0.7480595724862505,97.87932392310796
keyword_args,308.92776333525575,0.05088517799928232,33.7736377920452,0.49132590470337406,9.147008836815866,0.4939538905329197,99.61685748627728
respond_to,293.8243357238133,0.6578771307657748,13.510862430809317,0.39646157353424405,21.747267225058472,0.7681042237052581,99.73257810038463
ruby-xor,758.4518974013242,0.027493464192098076,190.21272257968937,0.28547043192759836,3.9873878419650493,0.28679131450971757,99.99879354682446
setivar,81.39450665577367,0.08399819132555125,8.368459310879622,0.07584745601323764,9.72634312148172,0.11317478840114495,99.11423077445792
setivar_object,125.18421598794076,0.5213031739416709,41.91479387163991,0.02838638249096733,2.986635610598625,0.5220754599409778,95.71962373032795
setivar_young,125.14427631798357,0.5903885933494902,39.57272434588706,2.1316454416334247,3.162387184267496,2.2118930760761804,95.94687794804737
str_concat,93.95437381001857,0.7425442683916641,48.85325264976412,1.3185148329685827,1.9231958715950965,1.5132261414869497,99.97153421815092
throw,32.417030752919196,0.2707883786922063,25.877408247622178,0.36014098669657046,1.2527155131889196,0.450586147516247,99.98584301246368
