bench,CRuby 3.3.6 (ms),CRuby 3.3.6 RSD,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,YJIT 3.3.6 (ms),YJIT 3.3.6 RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,CRuby 3.5.0dev spd,CRuby 3.5.0dev spd RSD,YJIT 3.3.6 spd,YJIT 3.3.6 spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,% in YJIT
activerecord,345.0037683658194,0.08755748506418681,339.98288539285005,0.059296174532593324,147.64708494105577,0.05921590643912702,141.92351128572537,0.07533506901518004,1.0147680462419975,0.10574662881134825,2.336678495911742,0.1057016403192152,2.430913421182525,0.11550621547902623,99.93349186140196
chunky-png,832.3344044375744,0.11926285415005747,814.0056494062551,0.12794620417939662,461.2189551999715,0.13327731124101425,360.73395309107804,0.1512662890386375,1.022516741799874,0.17491100463931286,1.8046404967824832,0.17884761690235645,2.307335911425634,0.19262688955475168,99.99690511336813
erubi-rails,1503.6055600000357,0.03423738751793682,1516.061396199863,0.05469525426944797,647.6649120000047,0.15510056409265893,644.5583598999747,0.15768978584190907,0.9917840819434826,0.06452727751620195,2.3215794651540804,0.1588344537117636,2.33276868867758,0.1613637730809506,99.94010239772092
hexapdf,2783.3199209002487,0.9227707531744412,2751.519864399961,0.6109894295352984,1482.0392012000411,2.069971684476626,1447.4505720999787,2.8128242537391523,1.0115572694610446,1.1067131272005382,1.8780339404291944,2.2663381560237488,1.9229118938839995,2.9603185884862704,97.78843531296532
liquid-c,70.216308607562,0.4328141160548881,70.03995054480824,0.6011017362240493,46.689141079413446,0.6563397673312199,44.976339949692836,0.3537790295953766,1.0025179638389512,0.7407100352688228,1.5039109091369072,0.7861996878890082,1.5611832507069427,0.5590059577838331,99.75834902650665
liquid-compile,72.48220489244261,0.1744421304051782,70.30052967062035,0.7422336331420146,50.705903883578905,0.1364564688952178,49.38342318343707,0.21226374108709894,1.031033553118932,0.7624570958601486,1.4294628305781165,0.2214733048555711,1.467743631768985,0.27474707030392187,99.95289671587045
liquid-render,173.18147795264025,0.1867158588159239,172.94499262726606,0.15245996568987497,65.80758583206912,0.4566641201859132,61.671697862422675,0.7108604219624192,1.0013674019801422,0.2410536311104354,2.631633963819503,0.4933608523165799,2.808119185221295,0.7349730276996269,99.89525905376576
lobsters,1205.7942223501414,0.548259917921526,1220.8213113001875,0.6390275120838004,726.0443866001879,0.7089847381689703,721.0207893998813,0.6684838800995684,0.9876910004675113,0.8419887759342934,1.6607720472799938,0.8962412044510348,1.6723432112876326,0.8645574796115598,99.50976073873032
mail,154.36632577780912,0.19060802358184029,156.98957032781368,0.18922628379160486,98.48894263099542,0.3471538554734919,98.86682535714874,0.44769301581744614,0.983290325946323,0.2685851915712338,1.567346766592543,0.3960394147353083,1.561356149751676,0.48658036855744136,99.87444326684825
psych-load,2369.22455779968,0.02937403817342247,2409.716541799571,0.02387585165533608,1586.1587706999671,0.013674659012686207,1466.074922000007,0.02166697659418779,0.9831963704869404,0.0378535389479147,1.493686887822805,0.032401086675093484,1.616032388418188,0.03650057524679251,99.9973226792387
