bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,207.4005839911467,0.29701900921127594,126.20376657527059,0.46847899390191616,1.643378716969185,0.5547006936720015,99.55241326401551
chunky-png,2471.0436609884105,0.5205268052372752,1262.9028603434563,0.08743819796337893,1.9566379478437406,0.5278196599536695,99.9923655214752
erubi-rails,4642.969338347514,0.06095458665033175,3014.0440282722316,0.10536135209738937,1.5404450946289086,0.12172294832735056,99.86657651825368
hexapdf,8507.799331595501,0.4763697939488302,5093.780190994342,1.3770149039041228,1.67023291398342,1.457085524655616,98.66434540024179
liquid-c,233.40729353203264,0.4595932607147825,178.31557681811668,0.5347726305382808,1.308956276826617,0.7051295850177318,99.75132844968516
liquid-compile,216.53806905333812,0.22877882442233263,166.89683806862246,3.689201195877113,1.2974366174888516,3.6962880318185682,99.95803934187047
liquid-render,565.7295743973615,0.08714845876839221,285.96285936267424,0.13679102856751332,1.9783323458794742,0.16219321614131835,99.90362262070083
lobsters,3168.6777874827385,0.43008790862659674,2224.2929155627885,0.8722033500314038,1.4245775658917668,0.9724784280141144,99.27553396321858
mail,472.4871183665383,0.18967109657199988,337.7131414877263,0.2318546494439911,1.3990782718288448,0.29955250515330517,99.89954812996426
psych-load,8072.909129162629,0.1247838961392102,4552.2701141734915,0.039977146088833966,1.773380956465573,0.1310312670513766,99.99647754000416
railsbench,9387.136306116978,0.035565874871651935,5741.284332921107,0.13792403994349856,1.6350237615458592,0.142435853104904,99.84618686034662
rubocop,522.9008095959822,0.3567112789317811,360.6037211914857,7.131056089702653,1.4500704758903873,7.139972261220798,99.66439077526742
ruby-lsp,388.15201072850164,0.1385540608099031,301.9303727584581,0.1514224567715697,1.2855679512541793,0.20524616484030156,97.58255312675087
sequel,232.15006979811898,0.10551948366741136,196.17040348904473,0.07701336373053805,1.1834102681604748,0.130634680029957,98.65133711138432
binarytrees,991.984770429888,1.0385892674587311,475.1258143919638,1.9252346756494758,2.0878359802431867,2.1875091366217436,99.99742883612574
blurhash,1077.03426455458,1.2232896850497412,416.2450311084588,0.6984070744940911,2.5875005923468737,1.4086199257615555,99.98771482066059
erubi,693.0555190089383,0.13270910004098524,559.3091670093658,0.034081636769398405,1.2391277666960407,0.13701555823544068,99.98350267879697
etanni,2491.8012696565415,0.04421916312668766,2305.2185716069475,0.03846835795577016,1.080939265520288,0.05861014375889108,99.97801474622986
fannkuchredux,5641.511768996716,1.5237669822063142,1490.1467464864254,0.4345601089935651,3.785876647584324,1.5845214748909642,90.91518529860842
fluentd,5115.861818691094,0.4016921786568467,4660.2089787522955,2.215791778038144,1.0977751946353258,2.251908037646192,99.98393402982772
graphql,11180.074426035086,0.17392920282727195,8961.541710297266,0.05390784660096887,1.2475615008507535,0.18209179970905856,99.62735677293705
graphql-native,1610.8602007230122,0.07888647043172338,1362.4561128516991,0.04073522148928514,1.1823207995679135,0.08878306982165173,99.93202720471969
lee,3779.4890231674626,0.8618181786730799,2587.150570182573,1.3040932734985733,1.4608693698491415,1.5631346196267326,99.96409978165376
matmul,3710.2292189995446,0.6824666908384823,2134.6299233535924,0.09241152090492018,1.7381135617037637,0.6886949058182361,99.76069305190761
nbody,286.6613962850371,1.1491717732928135,121.95514027888959,0.07854247215479862,2.350547878748643,1.1518527182175406,99.94797309399824
nqueens,579.0321789681911,2.450568983713468,113.82774909337361,0.441473464110989,5.086915831861065,2.490017502639814,92.40589638388191
optcarrot,17698.461273560923,0.6187090440657649,7347.563995420933,0.5260812854113643,2.408752245586532,0.8121344716663897,99.50362218031833
protoboeuf,428.6491150657336,1.393048749975828,148.78864188989004,0.17854879871244753,2.8809263235492955,1.4044445497529887,99.96625474167249
rack,499.38897117972374,0.23814015630799773,411.8002876639366,0.38038002215380945,1.212696994488908,0.4487757739675017,98.29122449442434
ruby-json,11516.419926534096,0.24990909019464536,9948.042534540096,0.06081282120949294,1.1576568844120354,0.25720177407120104,99.99084539595371
rubykon,35196.275739868484,0.4820271981025829,19750.364958246548,0.6110787188691013,1.7820569804292485,0.7783106194607193,99.94865736156369
sudoku,4509.471286336581,0.12652920772414614,1462.8675170242786,0.09294676379320015,3.082624526047043,0.15699917613455514,99.80795258680651
tinygql,2446.563655883074,0.37055191812726634,1365.4823946456115,0.10423294523496272,1.791721127622476,0.38493276153134987,99.98629708240522
30k_ifelse,6908.120415562933,0.07158457307482545,1550.0518756833944,0.04260219477019714,4.45670272326676,0.0833024495530764,99.9854707959328
30k_methods,18945.065856951733,0.19200545598531563,3350.0683139199796,0.07151901141874625,5.655128218798543,0.20489281130006426,99.98971412298145
cfunc_itself,286.5451655052383,0.38984808118207276,42.442540610703126,0.015550754361049031,6.751366939447012,0.39015811200402034,98.96134913774166
fib,521.9912852792602,2.0193857369785326,115.25781876740179,0.009173162727081196,4.528901300246489,2.019406571650877,99.99943874566435
getivar,245.4530850044941,0.08198066461857872,40.47236828749084,0.015226407725141467,6.0647077349402,0.08338268923173522,97.87932387838175
keyword_args,669.0039244634145,0.2073528661578121,72.89707204055728,0.010819573088377703,9.177377166687917,0.20763495434457632,99.46068394133367
respond_to,826.1439952127698,1.0273802620454935,34.11199047144575,1.4327147585964253,24.218580733490565,1.7630036251637942,99.45996158863007
ruby-xor,1860.3006819883983,3.277181255604285,357.9472693304221,0.0875888476305133,5.197136118591674,3.2783515351946804,99.99495611524864
setivar,189.30755751168363,0.015934468292441804,29.591950182883984,0.01931306164609218,6.397265348911655,0.02503800371252848,98.73466526350225
setivar_object,302.5008634691626,0.0052571977923075225,112.7362036802472,0.00903304847151105,2.6832628170374035,0.010451511532601933,95.69375475261891
setivar_young,305.52051410898093,0.6532921169414234,112.7411068415163,0.009482260543491727,2.709930057174804,0.6533609288309342,95.68506214597843
str_concat,170.16084105509773,0.09482630429331997,79.38241371072378,0.2220907401939534,2.1435584167946593,0.24148773232987927,99.97290099221452
throw,73.106145472931,0.32145117860372885,45.920866177905175,0.3454479851220123,1.5920027551245544,0.4718741046620215,99.98699230609418
