bench,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,84.63306963698719,0.4278136068376382,38.3602468874093,0.8096947751075311,2.2062702016854243,0.9157674983487155,99.60058389648995
chunky-png,1130.8433649828658,0.14692352137890308,631.7878214758821,0.23138181220215148,1.7899100402745491,0.27408769427380114,99.99644848627455
erubi-rails,1935.4349836707115,0.9163789577273028,986.4948593545705,0.24587132416414198,1.9619311396483097,0.9487903362764644,99.9201578964743
hexapdf,3521.2518533070884,0.8549223342914462,1914.5799448092778,2.3373134053997147,1.8391772372074338,2.4887599628593247,98.07365487523317
liquid-c,84.38564737726536,0.6302138331279711,57.61871641767876,0.9021322340721936,1.4645527117534656,1.1004599234946892,99.75375404462018
liquid-compile,86.37382445514811,1.3946945140557632,58.59080986893646,1.0681540348642364,1.4741872428177782,1.7567372682714937,99.95807571338214
liquid-render,205.30603915160776,0.2958883365166976,78.75634115554539,0.765320575734627,2.6068509041846437,0.8205275689027147,99.90658410347201
lobsters,1338.5674823480456,0.9946933582812097,844.6096014636366,1.678966892156756,1.5848357395279689,1.9514980660936525,99.4932478930803
mail,178.06689324645907,0.3053390205709691,124.02017996789304,0.3933873065102898,1.435789669814686,0.4979814157241808,99.90375859458534
psych-load,2799.245958713194,0.03923890925230393,1621.3446985930204,0.04441194152243658,1.7264965069687768,0.05926307913956942,99.99654959019526
railsbench,3436.6731851672134,0.17220045459354508,1881.6048622131348,0.19492353224046824,1.8264584951832101,0.2600926373108713,99.8464425616947
rubocop,208.944500429002,1.480713372640099,108.618514924436,1.3665584291340864,1.9236545498192554,2.0149426870639866,99.93096247934267
ruby-lsp,141.5138150371863,2.049547929733995,105.49230254502687,1.3829789765824776,1.3414610509310336,2.472504310602112,97.57648776273105
sequel,92.90304973311851,0.5061212790464573,69.25443337135708,0.4794103141866215,1.3414744040277176,0.6971319806551246,98.66424775273916
binarytrees,482.89420634197694,1.2405388633143783,233.2388510417548,2.6532652774111862,2.070384947383952,2.9289508878964137,99.99744418604227
blurhash,427.55605706410245,0.040402643989296036,198.9633547197474,0.20014603611049941,2.14891861703047,0.20418327407520706,99.99722050961394
erubi,317.72945520396416,0.12325214598370461,257.46806172462993,0.14623089456541702,1.2340538592463777,0.19124478036012002,99.98364104621189
etanni,444.3379690548262,0.6375696385218279,391.9780963601974,0.09329691995975264,1.1335785677333208,0.6443596505359649,99.97928759969389
fannkuchredux,2244.3191239920757,0.04096226208113626,868.0720174064239,0.060322270138658624,2.58540660105313,0.07291558948184537,90.74416236330086
fluentd,2597.4616104736924,0.6982252517010238,2267.679521565636,0.7320438933174467,1.1454271142689378,1.011635687318475,99.98935141638384
graphql,4356.564447345833,0.05173432447718041,3621.8164240941405,0.07666769675935883,1.2028672735492003,0.09248987001556003,99.7517153775359
graphql-native,941.5284466760403,0.5010150462975717,877.3268023505807,0.9240245115470598,1.0731787107762434,1.0511124461999013,99.96141099414119
lee,1450.5432476534654,0.8085498350336131,1002.6502530335596,1.3395084293227177,1.4467091024659766,1.5646199755721826,99.96394983955527
matmul,1975.748692225251,0.11181491794310279,1148.580439388752,0.16479944149407566,1.7201657145377636,0.19915178078887988,99.85049854746366
nbody,130.0280928341466,0.03614317801524108,63.40055043400744,0.09050769789917361,2.0508984850137955,0.09745754304336571,99.952671222432
nqueens,253.84469417583765,0.15186328838498642,69.08534543391391,0.1551051664536818,3.6743638260977063,0.21707158040546415,99.33029913238072
optcarrot,7726.462867669761,0.8079957145921086,2026.0225462416809,0.5138399585132376,3.813611493121106,0.9575429900344412,99.50369196040586
protoboeuf,158.96851053540604,0.17118116643045053,44.95208906905697,0.4671728913139791,3.5363987264572523,0.4975474873006118,99.99631417242493
rack,140.5331777556047,0.3339959352793775,110.94614511387329,0.3450731902400401,1.2666792308228805,0.4802382652450604,99.7526354546166
ruby-json,4390.40718699495,0.2440522085517159,3839.509435991446,0.022090562435473433,1.1434812858745456,0.24504994072165326,99.99105271164213
rubykon,14064.598298817873,1.4253852497671926,6599.376564100385,0.8634694847845397,2.131201055464416,1.6665241256603398,99.94866609508466
sudoku,2202.770815983128,0.02818736228082232,827.0938186548077,0.031180107412011566,2.663265963667499,0.04203244568871651,99.89715463685802
tinygql,894.4991576235469,0.10195293830010187,476.0771794017495,0.08069128136644897,1.8788952638889285,0.13002109258341055,99.99430159390856
30k_ifelse,2426.8290110609746,0.06258074794597795,360.9469031745737,0.058079860902527036,6.7235069471900335,0.08537927298785643,99.98552151620581
30k_methods,6686.895404825918,0.0334637699860296,834.901490714401,0.01887352673812012,8.00920285709891,0.03841918678489213,99.98995668318378
cfunc_itself,113.15510730442682,0.20109600212044842,24.182234174530265,0.03259148854756238,4.679266046625521,0.20371992341097442,99.34723292947841
fib,268.5995515418067,2.5661140811839327,47.97951065950828,0.17002732689049124,5.598213650988484,2.571740805279565,99.99942006734354
getivar,141.19491639546064,0.14590610246003896,21.137574495014874,0.17800252339761394,6.679806920550904,0.23015970340395708,97.87713620348168
keyword_args,313.00685496909415,0.08571120038366917,33.78329854521604,0.4864832475739269,9.265135982804088,0.4939760723367927,99.61625978387929
respond_to,303.4270694139539,0.29338275823865595,13.509698958463362,0.18877314185571567,22.459943063636313,0.3488678000587039,99.73259180502964
ruby-xor,746.6439141748034,0.034601693498101806,185.5270985089909,0.1445957949448834,4.024446672078041,0.1486782469249599,99.99902141073996
setivar,78.96732877335923,0.16068808685385555,8.359672166204732,0.1416952215784947,9.446223153653905,0.21423864514818736,99.11497220036286
setivar_object,116.03671228707147,0.09915515660729733,41.63271156915774,0.04148135493688638,2.7871524076522927,0.10748231430899509,95.74522187526776
setivar_young,106.15200430832125,0.3241246683760013,39.497416880600184,1.5479909907336455,2.687568268811513,1.5815602764493002,95.95458436284194
str_concat,88.87196046380717,0.7775392513688959,45.99089981229217,1.3964124663355106,1.9323814238584218,1.598291294963633,99.97035178136002
throw,31.534788506269376,0.2752932134266836,26.628502628215273,0.37011535852313393,1.1842494092347293,0.461271863409744,99.98589218471753
