bench,No JIT (ms),No JIT RSD,YJIT (ms),YJIT RSD,YJIT spd,YJIT spd RSD,% in YJIT
activerecord,82.6330068704381,1.9057104540133072,40.9949431138009,4.1074186974879145,2.015687804250661,4.527981966727443,99.96001924522598
chunky-png,1064.3867272883654,0.25687425975229405,625.4974592011422,0.4445946347829574,1.701664349920387,0.5134674036402703,99.99609013228957
erubi-rails,26.756361386073113,10.344295456368386,14.071953763697069,21.39576503687362,1.9013963402224483,23.765167998601385,99.93825252600966
hexapdf,3417.465276271105,0.7200700539951049,2097.362040231625,1.7683444238930752,1.6294112369334635,1.9093304806068139,93.6106289323793
liquid-c,80.46516174791564,0.6945022109355411,55.76829771760484,0.9265218198080356,1.4428477296432618,1.1579188242596063,99.73786798900626
liquid-compile,84.37942874592704,1.040491741465674,56.5970123888136,5.061432782843496,1.4908813236686789,5.167274414940736,99.94642727492261
liquid-render,198.01267077915432,0.20682482296515883,82.1097221163925,0.5219104819470255,2.411561818446622,0.5613974158835662,99.85909475790498
lobsters,1285.4509021748197,1.659290759207365,878.2996184785258,2.515146497908772,1.463567642670277,3.0131723697016928,98.5106447739543
mail,172.6165195259283,0.24996947560983518,125.22918716916499,0.32671739417191836,1.3784048545547969,0.411374518402811,99.88871126780847
psych-load,2654.0223690370717,0.06978127597153148,1845.762584855159,0.193168694049796,1.4379001886883185,0.20538639399219882,99.9963164749914
railsbench,2744.9296121795974,0.5002618274237736,1635.1451863845189,1.1255781210978273,1.6787069643943549,1.2317418571565588,99.54936797126463
ruby-lsp,79.04473231043048,3.2303303382433906,51.202052789728356,8.357248725188471,1.5437805322970888,8.959834839372876,92.82269625018952
sequel,89.2307250280911,1.2182520127080956,65.97998449919231,1.79532411350904,1.352390815265854,2.1696374441399993,99.90867943482559
binarytrees,491.8659377496603,0.4274582131024929,230.33321930398776,0.17118746646623775,2.135453753635547,0.4604624551729549,99.99735310425389
erubi,311.13431197178517,0.1016033629033048,252.76725970302957,0.13834458734208324,1.2309122326100688,0.17164634630574563,99.98286058915107
etanni,431.30218237638474,1.001429859011102,378.6703567378796,0.08211199405840092,1.1389911428291113,1.0047905961379426,99.97810943531906
fannkuchredux,2206.2282899022102,0.060847530244189756,780.4732905328274,0.10428863364274939,2.8267825647127824,0.12074162929118187,90.9200981144451
fluentd,2612.746179352204,0.6483994123236573,2346.4264820019403,0.8439718099434045,1.1135001242924274,1.0642885952037682,99.98626963586666
graphql,3987.834310531616,0.03952190266133527,3403.0203019579253,0.04081257573224593,1.1718514603739563,0.05681238533869502,99.7510243498186
graphql-native,558.165973959825,0.1163706399588792,515.8202009132275,0.24841602091667409,1.0820940571377913,0.2743221560364976,99.96930899093138
lee,1337.7358287218071,1.040521748753649,942.3790027697881,1.4393921136752081,1.4195305973392958,1.7761011138276261,99.97587814936098
nbody,116.82730583360545,0.04359666890504917,71.57341708632781,0.05324080599032671,1.6322722959097364,0.06881317433541408,99.94677788108588
optcarrot,6509.335591892402,0.652696359211187,2090.0897150238357,0.6260142300510696,3.114380949823567,0.9043817521124429,99.50016599962763
rack,134.9267280240963,0.8713558007316867,110.71452416561462,1.1456079671558108,1.2186904025551637,1.4393326738039502,99.70816096760895
ruby-json,3883.6878093580403,0.025857022811735745,3352.7226949731507,0.07650122994833916,1.1583683360335715,0.08075285637236175,99.99088840176613
rubykon,13276.5829158326,0.5522494885572455,6596.3088276485605,0.8596021387551914,2.0127291281729467,1.0217119626216769,99.94718389050416
tinygql,858.0323266373439,0.07977207427588828,462.65099620954555,0.2127397671541146,1.8545995440777583,0.22720429653302057,99.99431547722445
30k_ifelse,2397.1823437272437,0.06375786004573078,357.21210051061854,0.05272517046759533,6.710809461103305,0.08273456543940978,99.98560525216931
30k_methods,6599.769072202237,0.11165821112293711,829.0150753505852,0.028098325478393884,7.960975944148225,0.11513935906484868,99.9896775228913
cfunc_itself,117.68315583269856,0.17330536348798328,26.517360295794056,0.031841040730731004,4.437966468757616,0.17620613181305037,99.29931240879527
fib,262.997301024227,0.030576942870569782,47.69716717676217,0.39196587736875543,5.513897713245285,0.3931567097949218,99.99939294002563
getivar,128.52327925754284,0.13850649578475716,21.2444789731669,1.5143718900969396,6.0497261156593085,1.5206926944292034,97.85037245117049
keyword_args,302.88432871504705,0.10968196973568613,40.805579676311844,0.1308249921314063,7.422620414111535,0.1707199843348238,99.54515332000364
respond_to,280.50318470729513,0.4703458625742677,15.843179177274417,0.04188316591080321,17.70498089863499,0.47220697795293515,99.69162319799824
setivar,73.58430434369225,0.14326373776724824,11.991311930651856,0.06108458550495131,6.1364682004141775,0.15574281731545303,98.73465737367063
setivar_object,103.12769096148641,0.16714964684863554,42.06205076292942,0.016241437253615577,2.4517989277968355,0.16793685934209532,95.7023863564181
setivar_young,103.24731371699507,0.31571967445804755,42.18303788657681,1.403440245065643,2.4476026120880614,1.4385143149478241,95.69372879558459
str_concat,87.00736276363666,0.6933462112580747,39.89544407033873,1.4353021132432568,2.180884679720221,1.5939953340416293,99.97509400745358
throw,32.216192576077866,0.23895512764459512,24.391461327708438,0.3513692123955034,1.3207979687334526,0.4249233771482585,99.98644015684653
