bench,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,CRuby 3.5.0dev spd,CRuby 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,% in YJIT
activerecord,333.7726122823797,0.20764136008178083,329.7093606395529,0.3221313349280093,110.89524111361946,1.1896151797208374,111.8415563899637,0.993393992615459,1.012323737594059,0.38325387324737253,3.009801042232351,1.207600600463105,2.9843344733025496,1.0148628276674116,99.9435371695832
chunky-png,837.220247129065,0.18694828618229492,838.6540621933466,0.1656827617178081,392.5058392224283,0.16207619348607205,392.7636953333907,0.12590955675482396,0.9982903379010272,0.2498007991118868,2.133013482774259,0.24742343098710742,2.131613122792332,0.22539493824993828,99.99746379002742
erubi-rails,1478.5054175335972,0.06581457948681951,1486.481095866596,2.158183535215493,624.6853804997954,4.064286430804683,620.3501149995645,0.19160360798282364,0.994634524209439,2.159186821594711,2.3668000943942076,4.064819276486483,2.3833402812130293,0.20259195804637073,99.92801985199675
hexapdf,2667.943006099904,0.9141929416795597,2652.9991161998623,0.8792260421783782,1347.251863999736,2.1385847550447865,1361.6810144000283,2.361690465258952,1.005632828827115,1.2683797411900672,1.9802852587483424,2.3257887885890876,1.959301024164921,2.5324554464613533,97.85150204963226
liquid-c,76.65959599225806,4.681532843543626,75.59800184435865,3.689987923842145,50.468878144165735,5.875923682844312,53.27396237380824,9.080283494212578,1.0140426217889333,5.960936222044197,1.5189478904856537,7.512870882145409,1.4389692933737401,10.216080368734726,99.78649371968034
liquid-compile,63.80844740216817,1.7614325019349126,64.79755140824787,4.094711241355625,40.257309348761936,2.61696838579319,39.18222577324095,1.2694862520649925,0.98473547248957,4.457499815923362,1.5850152043042718,3.1545471927225464,1.6285049188233052,2.1712300207612065,99.9395506613287
liquid-render,175.98442605416145,2.0454531739556643,175.6054368742009,2.0089256073357293,71.21616837662319,9.338997667063559,71.41061882305989,7.6539258181711,1.0021581859121595,2.866995078937969,2.4711302231745536,9.560374266327857,2.4644013587140714,7.922528581009439,99.90907272752301
lobsters,1213.4020512001825,0.3205678642194708,1209.7867196501284,0.3046199844640578,703.3809909000411,0.4388023285151029,703.8388232998841,0.539591297976319,1.0029884040643955,0.44221837422829446,1.725099294548069,0.5434254678247141,1.7239771536205657,0.6276324755953931,99.52986495586094
mail,168.2558575172497,6.504027837493924,167.25932835428208,5.909876539239921,110.0057326238878,9.421992412313065,113.89753905089711,9.546755588208395,1.005957988548518,8.788004256937654,1.529518994182971,11.448856673422934,1.4772563035103121,11.551749667123335,99.8707344609264
psych-load,2250.494756200351,0.06255936785276175,2273.428900399813,0.04603281133033769,1447.8196688000935,0.0682901113382113,1446.33290999991,0.09476952665181468,0.9899120908529716,0.077670420528742,1.554402668162043,0.09261324858098034,1.5560005173362823,0.11355587914302885,99.99793674458985
