bench,CRuby 3.3.6 (ms),CRuby 3.3.6 RSD,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,YJIT 3.3.6 (ms),YJIT 3.3.6 RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,CRuby 3.5.0dev spd,CRuby 3.5.0dev spd RSD,YJIT 3.3.6 spd,YJIT 3.3.6 spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,% in YJIT
activerecord,340.63850045242276,0.06502929093007208,331.368421918553,0.07067728856112841,137.45169922014526,0.07520974251072633,120.07314059500801,1.0348609648374583,1.027975141626948,0.09604211470610675,2.4782414650753037,0.0994249166325912,2.8369250505519354,1.0369021290474734,99.94347511549327
chunky-png,852.5164735161421,0.10379333575836568,825.7501596251586,0.19428188741665148,468.7643105714545,0.14077148148593555,397.61703876921763,0.16871985617915994,1.0324145427996452,0.22026917243687388,1.8186462883167631,0.17489901814359599,2.144064238683077,0.19808949093014816,99.99745126123533
erubi-rails,1486.8672156248408,0.06287074358069014,1492.3758348000167,0.10749128332451868,674.6389013999305,0.10362729436874758,640.7112673999791,0.2327232082567032,0.9963088258019709,0.12452753265499497,2.2039452698910047,0.12120786499471045,2.3206509566447644,0.24106601183012452,99.92646782344782
hexapdf,2789.805216800414,0.9977711280652328,2659.649192800134,1.415831267410143,1482.4425390004762,1.294186740667509,1418.3061783000085,2.789634877366308,1.048937290057885,1.732087007565376,1.8818977082790782,1.6341562176610158,1.9669978594779118,2.962703153037628,97.79729998508196
liquid-c,70.52252357480764,0.48444557434928814,75.87256430690472,3.6963550405178225,47.77602947577967,0.7342727610428845,52.844634503885956,7.932514017123329,0.9294864911846639,3.727965678499216,1.4761068332511689,0.8796840353877934,1.334525713667709,7.9472930074563575,99.78567881190449
liquid-compile,73.1402277437863,0.11220897698306603,63.30359266524929,2.2491342239579435,51.05042848228187,0.11189325324453336,41.140293536289526,5.860112782493791,1.155388259408172,2.251931529131045,1.4327054623874735,0.15846436393470778,1.7778246448161554,5.861186968359114,99.94888000240014
liquid-render,170.40622018593302,0.15591984646228496,174.85308051493917,1.2567933000358449,64.66796588887922,0.39960961310220094,73.32625118455496,7.510320835445677,0.9745680183848622,1.2664282046511015,2.635094792972873,0.4289508612935906,2.323945618834888,7.511939167075987,99.90937813051566
lobsters,1217.1693750999566,1.0094837734233701,1215.4765366498395,0.30676786041064436,728.3338860999265,1.7219176075728662,712.7816944000415,0.449138250777513,1.0013927364281197,1.055065878979133,1.6711694983981047,1.9960104549011135,1.7076327642286961,1.104890337145081,99.5153512730377
mail,155.2385401010371,0.14876308491628334,160.93540937909782,4.030870663100343,102.88254194979135,0.23140228827825712,119.13908407318004,4.838261089486553,0.9646015174656732,4.0336148499921025,1.5088909853801677,0.27509539155395346,1.303002631828891,4.840547574962302,99.86994814870056
psych-load,2371.408964299917,0.03200872091965956,2246.4561494998634,0.1723762758908186,1614.2699129000903,0.02343008461477581,1466.6781556999922,0.2335034545006564,1.0556221917921131,0.17532295544195078,1.469028782206317,0.03966770827723989,1.6168570828465973,0.23568712624717705,99.9979144528045
railsbench,3122.50317249991,0.04792408998387678,3124.022950700237,0.8146126733589593,1628.6212365999745,0.050963029847195467,1534.4826658000784,0.4020000397277615,0.9995135188747617,0.8160211553616811,1.9172678719446576,0.06995676387590305,2.034889831011443,0.40484657630008986,99.80212991855426
rubocop,202.5911029787294,0.9134803685005685,206.25571638126968,0.5345950219714647,111.62365814631879,5.386300016791958,105.49411307445045,1.0704231667907562,0.9822326698777835,1.0584130673572607,1.8149477121881137,5.463210983892988,1.920401973859476,1.4072143190140887,99.78729365899416
