bench,CRuby 3.3.4 (ms),CRuby 3.3.4 RSD,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.3.4 (ms),YJIT 3.3.4 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,CRuby 3.4.0dev spd,CRuby 3.4.0dev spd RSD,YJIT 3.3.4 spd,YJIT 3.3.4 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,1466.9197249141607,0.1237292066671513,1511.455986648798,0.06447369320092411,968.5682874350321,0.04222444672843455,861.2510423362255,0.08367597185150959,0.9705341987275573,0.13951979679403753,1.5145238017227114,0.13073568940425198,1.7032429022495013,0.1493672817178423,99.80972928077472
chunky-png,2464.9190422147512,0.49889502266817115,2601.476415991783,0.655845130003339,1346.1806997656822,0.07796788696757509,1268.6327413788863,0.11683763603018105,0.9475077410129159,0.8240322070114563,1.8310461906368127,0.5049507253596766,1.9429729044637556,0.5123936736886942,99.98879270193075
erubi-rails,4476.32525190711,0.05779912862700619,4669.924838095903,0.045277296294378544,3099.9144922941923,0.05035930315871727,3096.5773537755013,0.05301328569926974,0.9585433185970225,0.07342188249949841,1.4440157181865556,0.07666028101091722,1.4455719139227545,0.07842925302891521,99.84226543893374
hexapdf,8681.127693504095,0.5229368979286962,8749.278220534325,0.4562134244738589,5902.439035102725,0.6069565566190743,5105.573235452175,2.4734774655398377,0.9922107258093266,0.6939695150980718,1.470769565238383,0.8011611952897938,1.7003238016886955,2.528152244574813,99.44969424323105
liquid-c,240.2019987611667,0.3676319384464161,236.9909993985779,0.478086740477775,184.44462956272457,0.4051323369621059,175.38997172291235,0.27767224475318325,1.013549035071954,0.6030921766915343,1.302298686227026,0.5470698790997789,1.3695309737585613,0.4607115341210171,99.668958148032
liquid-compile,212.7843913799934,0.2899768334934976,216.17608341251233,0.13430779595326256,172.13624063879251,0.1893723387369863,170.4459192400629,0.3548996041908894,0.9843105121575969,0.3195702552127448,1.2361394125394907,0.3463357426567918,1.248398273943416,0.4583015306736009,99.89800020616454
liquid-render,563.3280312811786,0.1294744891810435,586.7920134748731,0.1390133852660247,296.531726370801,0.23665928870981848,283.9143213080732,0.2587351068911582,0.9600131193764121,0.18996937814240578,1.899722630612414,0.26976149147224365,1.9841479946688414,0.2893224825115933,99.86245142368728
lobsters,3028.0383192002773,0.4750825561180757,3169.817741587758,0.6018196372403716,2211.4569276571274,1.0835678904396528,2200.611489266157,1.5101003148062744,0.9552720585390932,0.7667400543181613,1.3692504164701307,1.1831410770992292,1.3759985958312178,1.5830686643054033,99.08271867885375
mail,460.7715331695297,0.1672397316121605,476.8817058692758,0.13406247541928148,335.42704204909313,0.25579010230342275,339.2182017529481,0.18290447718139868,0.9662176751561901,0.2143405587966331,1.3736863025554484,0.30561037984025174,1.3583337532845852,0.24783699401563974,99.76368171561737
psych-load,7950.47104395926,0.09071729290146228,8204.147562757134,0.05524366828370539,5104.221486672759,0.039959106161544376,4730.325496569276,0.03989510498659825,0.9690794787810201,0.10621435927787624,1.5576265772788513,0.09912798493159879,1.6807450247822127,0.09910220296876046,99.99228295353375
railsbench,9257.090181484818,0.39831543730470303,9480.346308276057,0.054908045711542584,5885.477207228541,0.40020523429638477,5783.622298762202,0.04117573578889747,0.9764506359228309,0.4020821819965386,1.572869939945611,0.5646409630494948,1.6005696263163658,0.4004380461606938,99.80392715050965
rubocop,522.2673090579717,0.19951917866561425,536.2988409840248,0.4230457347508831,370.7394265269829,3.9461038481448045,369.7475483985963,5.854412930300231,0.9738363560504674,0.4677345361915409,1.4087180151042296,3.951144578852897,1.4124970167346604,5.857811763886062,99.62745888790093
