bench,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,511.8457912562453,0.2877999715999702,267.9467426576451,0.40500442076270304,236.5221607570465,0.3356931763492457,1.9102519634292756,0.4968474660197798,2.164050039192771,0.4421750018944868,99.93047614217832
chunky-png,1155.4571889573708,0.17052914148933096,701.1199470496539,0.1604155350830712,631.1909678931299,0.228048112031831,1.6480164254627039,0.23412247220862054,1.8305984206558021,0.28475626331719345,99.98837934240228
erubi-rails,1887.2390370815992,0.24377269852380326,1106.1272402811383,0.23105711335998017,1031.6079632428132,0.358000819316613,1.7061681227576766,0.33587574812692833,1.82941495638435,0.43311628366634203,99.84159979057097
hexapdf,3578.175445459783,0.5385493165397729,2394.605654105544,0.9110779947042711,1990.1929324492812,3.117706421151512,1.4942650115792604,1.058347050253277,1.7979038047613862,3.1638787421193664,96.39299360503414
liquid-c,85.5015939609571,0.6018470094086973,62.543864888168855,0.8480922738879717,58.6421015614759,0.6995865770933064,1.3670660441889488,1.039942463678959,1.4580240421862058,0.9228440830299133,99.75374401327534
liquid-compile,86.4331030206705,0.4398291742601698,63.13716274515916,0.7644244191276229,59.127091267099324,0.876526071670415,1.3689735056600636,0.8819265247677873,1.4618189592689355,0.9806873389864643,99.95618215720476
liquid-render,209.98202762881616,0.39637178772639575,87.65698963192752,0.6058776641913957,80.75075729174792,0.6753303018530206,2.3954966798487214,0.724015426680565,2.600372240103743,0.7830591361489315,99.89629394391916
lobsters,1346.135266746084,0.7073539999316768,901.649391447956,1.394617394017861,870.452540886143,1.3464176768103049,1.4929697502311066,1.5637478559270712,1.5464774970680009,1.5209175656973002,99.17056743461991
mail,182.1456587111408,0.36519835151684277,134.6927132033765,0.35330304079929026,124.89021483332837,0.36888110049365236,1.3523052166609317,0.5081268292352259,1.4584461957585901,0.5190790905555988,99.88167268060464
psych-load,2856.5859550610185,0.0587204627854362,2045.7056598737836,0.0683873451682918,1641.9602943584323,0.07922771320526312,1.3963817039237525,0.09013834771562479,1.7397411891602288,0.09861603971703195,99.99210659418526
