bench,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,209.20673759386932,0.12037116641715785,128.6008424530448,0.1373232399269907,1.6267913460229129,0.182611308326382,99.55349654674156
chunky-png,2428.296948596835,0.35185792688754747,1359.3232686320941,0.12447898454145025,1.7864013694405922,0.37322783699246403,99.99269681314668
erubi-rails,4721.797190234065,0.04209539663642317,3104.7670966635146,0.10574896428710566,1.5208217052120478,0.11381944414630275,99.86697225263659
hexapdf,8638.63604788979,0.553378058327245,5363.403867805998,1.77422395873594,1.6106629783640716,1.8585203607145828,98.22503327932527
liquid-c,237.29077440849574,0.44985913126304117,179.6747041086857,0.5262889175209918,1.3206687918904707,0.6923534232501168,99.75218483545302
liquid-compile,219.30559030455402,0.450471178573684,170.552013096986,0.6487044818495167,1.2858575300418402,0.789773250684786,99.95791932372794
liquid-render,570.4645538256349,0.23138133948114414,299.92482750094496,0.3137927659749653,1.902025112688737,0.389875908768813,99.90385478055273
lobsters,3179.330807427565,0.4028391618713131,2223.6402666817107,1.1273848120921837,1.4297864879790156,1.1971950153894353,99.2770500981979
mail,472.71670831601745,0.09963934443129763,338.11015775118835,0.04877015218547185,1.3981144827476157,0.1109347858108215,99.90040963244108
psych-load,8502.392818654576,0.10286417368694638,4932.983146235347,0.041377350561131884,1.723580350186937,0.11087435847731916,99.99655216244982
railsbench,9475.538561244806,0.04556996352059881,5776.714767515659,0.1748092292610506,1.640298845033657,0.180651288979933,99.84644367997988
rubocop,526.3234055290619,0.041500654384741466,368.226882815361,7.115467144138778,1.4293454120050622,7.115588168495476,99.66564585881399
ruby-lsp,382.5061187303315,0.6844443618024106,304.2426013853401,0.9960955864214364,1.2572404948834444,1.2085820210856086,97.58271870340918
sequel,232.6297265662445,0.17719328309927596,195.2004936955324,0.22068299701957775,1.1917476342508284,0.28301668634383226,98.65113414098151
binarytrees,990.9189470840254,1.4117487787411085,472.653534969893,2.7864331281160677,2.0965017158861294,3.1236587828602067,99.99751016092955
blurhash,1030.8055885136127,1.37877099619589,415.7339792698622,0.7072373882048661,2.479483611909658,1.5495787115296362,99.98801664289108
erubi,656.8920698629904,0.22502477266826584,577.1397534710698,0.2701849081668645,1.138185449732529,0.35161915891421747,99.98382341285956
etanni,938.6597214912881,0.2619129001648746,853.6523927611356,0.26913878639412253,1.0995807303429403,0.3755450087732184,99.97852364397404
fannkuchredux,5557.886907085776,0.6221895482242397,1559.7808761149645,0.1370491030532499,3.5632485256064452,0.6371046150885926,90.9151983873484
fluentd,5284.871008992195,0.7838195277823855,4889.075394098957,4.2626472947593195,1.0809551056158713,4.334112944035025,99.98421199890564
graphql,11326.067826151848,0.21642287904543478,9228.027057523528,0.45963979674452493,1.2273552900907247,0.5080429168147738,99.62748440167645
graphql-native,1518.355780094862,0.10021432191169267,1624.0392831464608,0.5334074948122245,0.934925525417806,0.5427397772764344,99.93325314046642
lee,3669.7255524673633,0.857933009654972,2467.6704830711797,1.2051509012099209,1.4871213874148004,1.4793369270530372,99.96415820568855
matmul,4112.775899469852,1.2568751556297817,2152.6374474167824,0.07995935903942936,1.9105752826168123,1.2594159979678614,99.76072772724703
nbody,299.6476976643805,1.508211216871198,122.02492335459569,0.34083152617140633,2.4556270098496658,1.546242931731114,99.94803877692411
nqueens,600.5247251441082,1.1510269798932433,116.10031959911187,0.5802659394466089,5.172464014032757,1.2890196542039287,92.43239377076132
optcarrot,18321.673819298547,0.5728057554106242,8182.53836358587,0.5790729680283612,2.239118596844483,0.8145133121887641,99.50369213849075
rack,501.4211217562358,0.1770450021483341,406.18434958159924,0.3742114898689205,1.2344668677479516,0.4139796757518669,98.29601804106223
ruby-json,11986.601393297315,0.048740728359802254,10062.583456685146,0.034799419255909535,1.1912051656410296,0.05988871497696873,99.99105432754902
rubykon,36009.092020367585,0.6084218961807795,19551.191251476605,0.7517957839266978,1.8417850634880366,0.9671474057671733,99.94866631172648
sudoku,4679.108143722017,0.2709419749576263,1455.963992451628,0.42443040563896023,3.21375265321163,0.5035382041362813,99.80797957247276
tinygql,2491.8119375904403,0.24425603169784915,1312.832988674442,0.48516182589282214,1.898041837070536,0.5431786136478844,99.98655943642784
30k_ifelse,6520.094358209859,0.056487301209388656,1557.0099156349897,0.04910098215991286,4.187574075628666,0.07484465008929017,99.98552258528449
30k_methods,18444.32733952999,0.21806809498240018,3357.077689760405,0.08330389001118024,5.4941616024520314,0.23343785498553554,99.9897688152117
cfunc_itself,277.0907949978277,0.3880697552522086,42.442911540566115,0.015193155746443298,6.528552941826097,0.3883670517989969,98.96140329516183
fib,516.4050287026579,1.3050056211312258,115.25760004795822,0.00917537427618133,4.480442317797558,1.305037876338156,99.9994555718148
getivar,247.55692890040197,0.100228197252525,40.472391175926994,0.018566458551785,6.116686504247098,0.10193333560541522,97.87933528817456
keyword_args,668.0360271197571,0.2861355002344653,72.89723303277516,0.01111505966356044,9.164079339189774,0.2863513035516902,99.46071220561194
respond_to,747.9324497043838,0.7486756041141005,34.1041824445751,0.6164207429885974,21.930813058483277,0.9697884782684459,99.45998988839159
ruby-xor,1916.727150728305,1.836040267250055,367.1891998499632,0.1177766595727097,5.219998713228758,1.8398139048566187,99.99509268387075
setivar,188.91243972264155,0.1422785272316434,29.592300217149496,0.02005601540773319,6.383837631289032,0.14368515255669503,98.73467703460499
setivar_object,302.14186611620687,0.07867324906669894,112.73803340687657,0.007462178808898416,2.680034917992258,0.07902635149927408,95.6937935739817
setivar_young,303.70157279751515,0.11100213223705868,112.9937584041352,2.8083055853582604,2.687772998144654,2.8104984849872405,95.68510104213668
str_concat,194.25559986874427,9.361217270387833,78.44282375436102,0.22920924042916327,2.4763973372126937,9.364022942053566,99.97295320120782
throw,65.3209323595677,0.32751677594871403,47.16172100133484,0.27205350600281,1.3850413210688155,0.4257703003454576,99.9873618559721
