bench,No JIT (ms),No JIT RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,1487.2274259951982,0.0655746645162884,984.3701058555217,0.037351737636634325,936.8594070388513,0.06811544991536857,1.5108417221819637,0.0754664755431161,1.5874606315753452,0.09455025723707397,99.80776594003193
chunky-png,2501.934192702174,0.6493785844485865,1401.8038495754201,0.12854977087452324,1253.5833210817405,0.09571003979355731,1.784796206302303,0.6619800522163356,1.9958260058399695,0.6563939043423044,99.98838072548553
erubi-rails,4754.1988134384155,0.07301752119397835,3292.7786245942116,0.08264714940299553,3119.3298514932394,0.07616937230219359,1.4438258247695905,0.11028195548571916,1.5241090361644685,0.10551460409925846,99.8415470489341
hexapdf,8627.752689272165,0.5311852623509334,6447.691559791565,0.5338947809583015,5148.331081494689,1.9324504346238898,1.33811498414032,0.7531277581349279,1.6758348584619995,2.004126359593349,98.96750103048336
liquid-c,237.76376992464066,0.4422595231890793,196.8431876263988,0.1635019934384447,180.7548833342317,0.5978773612258192,1.2078841680612673,0.4715149920307698,1.315393341185668,0.7436738699979855,99.66751692574607
liquid-compile,217.40528565715067,0.2521532288508263,180.0631219998766,2.8123096266050895,171.51857038005824,1.02259285759762,1.2073837398937226,2.823591097647738,1.2675320530914798,1.0532223902052043,99.8954203790569
liquid-render,572.9852431388789,0.05871804406116308,313.10446330801,0.11596243454165782,279.86313913439966,0.0905741164083294,1.8300130157365933,0.1299811329508901,2.0473766031178267,0.1079420180537602,99.86185768223552
lobsters,3187.1343687176704,0.3638490212025767,2340.98954834044,1.2940231849017778,2220.308952778578,0.9448177252354296,1.3614475002577755,1.3442031517941824,1.4354463439554983,1.0124557492301207,99.0243338469303
mail,483.1627816984466,0.17181679570343517,367.71806877638613,0.1870110070006285,337.457520102984,0.15513713742980065,1.3139489808216736,0.25395694128175567,1.43177363939318,0.23149199272482152,99.75559243685869
psych-load,8133.1526432186365,0.10196097990240306,5440.33945761621,0.03863976218553223,4510.0150518119335,0.03926464262652097,1.4949715374529837,0.10903702419092667,1.803353769285333,0.10926002738077017,99.99209858131785
railsbench,9504.088628664613,0.03918108630980515,6309.645168110728,0.4960084048735941,5770.493542030454,0.08036062764789145,1.5062794143637057,0.49755350991593217,1.647014862669862,0.08940351223738056,99.80787216321363
rubocop,532.4356400153854,0.43340347297378007,398.6299045665084,4.4543432329136206,358.75417316953343,4.116541950785348,1.3356640681395555,4.475378442879339,1.4841238927241043,4.139294167241727,99.63085917791079
ruby-lsp,406.40581032494083,0.12497993808558576,300.0656619922004,1.0588652459296355,319.61769372763405,0.6638735235882163,1.3543895946864608,1.0662155476082238,1.271537271873516,0.6755353730525965,97.52559003258241
sequel,237.60162758776266,0.20533699754347187,214.46876832498953,0.18033080064245469,196.28008410751403,0.262232081816244,1.1078612025584973,0.27328095473434755,1.2105233634280206,0.33305997552069966,96.76895498928172
binarytrees,992.8971422570092,1.3406008713124133,498.8664445631644,2.2453106423182305,463.9883566309105,2.130449440534909,1.990306530090325,2.6150775469708556,2.139918228695619,2.517146303820878,99.98483491106225
