bench,No JIT (ms),No JIT RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,512.7494402457864,0.2776294169019262,268.6094301478828,0.3724241631594366,237.56825475921406,0.36425931582147475,1.9089033470027188,0.46451894518341247,2.158324733940066,0.4579988452955231,99.93046616973255
chunky-png,1149.6877553051008,0.17754612756051283,697.227062488144,0.18425883500158363,632.1139350337418,0.20701063013411877,1.6489431021255727,0.25587877146780796,1.8187983076875711,0.2727196883253184,99.98837666638967
erubi-rails,1894.688087515533,0.21365565352935378,1104.2465029491318,0.20775142325073911,1029.1752762161195,0.36414364081015144,1.7158198667193911,0.29800904709045833,1.8409770729059585,0.4221958425038407,99.8416031880895
hexapdf,3547.5663259625435,1.0380998295822554,2415.8631272614,1.5518464333971118,1949.1668369621038,2.0793598902602257,1.4684467368745477,1.867050778373755,1.8200424195045528,2.324088812718164,99.06777729941695
liquid-c,85.45439185088506,0.575104679391024,62.61571708804509,0.841204162665733,59.079311004796736,0.8033103839806349,1.3647434833450218,1.019004335389997,1.446435146204513,0.9879539287176137,99.75394539961755
liquid-compile,85.55855658833931,0.49071095863687375,63.136723385222496,0.7052604762683572,58.69841377064586,1.1391741766971424,1.3551314037364943,0.8591795995672789,1.4575957183893407,1.2403689168065815,99.95674039166097
liquid-render,207.1760813119235,0.3722147729026875,87.8350968694939,0.5890256190708558,81.08993934260474,0.6591286779651753,2.3586936053562666,0.6967747247775311,2.5548925426692604,0.756963969606955,99.89628475747394
lobsters,1340.56427444403,0.888106408720589,902.1151035346768,1.4184570548218565,870.8285116793021,1.3802742489296884,1.4860235342379449,1.6735451620988533,1.5394124749761482,1.6413074043179716,99.17116003918194
mail,179.4707589209653,0.39838669706442537,134.52770252893038,0.34522851331483756,125.62470086973853,0.36465276949359393,1.3340803087183464,0.5271571746675513,1.428626358339036,0.5400774043572368,99.88113073346138
psych-load,2819.937196932733,0.06094541190327948,2044.9487309902906,0.06313913268115885,1634.6745654940605,0.06534228573958224,1.3789769661203903,0.08775473381983095,1.7250755939182558,0.08935299400542554,99.99210232468823
