bench,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,CRuby 3.5.0dev (ms),CRuby 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,YJIT 3.5.0dev (ms),YJIT 3.5.0dev RSD,CRuby 3.5.0dev spd,CRuby 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,YJIT 3.5.0dev spd,YJIT 3.5.0dev spd RSD,% in YJIT
activerecord,251.69910959989267,0.31913326578444756,257.1603337767751,0.2753513286801305,112.86142723609088,1.1592017943818564,113.03408917128594,1.0765252387768605,0.9787633493211166,0.4215025451123162,2.230160611679773,1.202328923975616,2.2267539947040316,1.1228324145008566,99.94704450629578
chunky-png,692.0139638974282,0.08679932698516232,692.1656391794339,0.04762284921241775,320.2137955681585,0.08077765018118474,320.15533995445367,0.08176248712114487,0.9997808685184293,0.09900534799790267,2.1610997823175637,0.118571294729673,2.1614943670653015,0.1192444022388997,99.9974650377743
erubi-rails,911.8327641071543,2.7994040788516314,921.3182830370123,4.65308056432708,595.2018238000164,0.28102221599257143,594.3994538999505,0.23850455553559363,0.9897044060619419,5.43026904810522,1.5319723959944107,2.813474130425323,1.5340403799574054,2.80954580309743,99.92800969283536
hexapdf,1929.1214480000153,0.9525517323727231,1923.199015181746,0.7793344379066981,1167.7807387995927,4.23137553502067,1192.7663507000034,2.9050913003423053,1.0030794695564618,1.23073838363546,1.6519551863674635,4.33726800200515,1.6173506629088459,3.0572717030337397,98.46955350188831
liquid-c,48.714130963997526,2.658403639927161,47.47419305897456,2.024036603961485,38.19266629403959,5.129785516463478,38.8501779958523,5.956164562965519,1.0261181459889726,3.341232420373345,1.2754839002062532,5.777699313541373,1.2538972400383421,6.522499997232978,99.79302806556052
liquid-compile,38.66167986513695,1.6943260727751184,38.77626262759885,1.435301191613033,29.887615670524227,1.034678150771899,31.144025393415166,6.319912685017336,0.9970450282028898,2.2205473090054504,1.293568556666964,1.985270691006723,1.2413835198487624,6.54309079771392,99.94949484724302
liquid-render,124.9637868728946,1.929207673701322,121.22693819755386,0.9542265049905045,56.75013016840852,4.212288674428531,56.4753921594204,3.8608884055442214,1.0308252334910175,2.1522988805215832,2.202000004265348,4.633057103575018,2.2127121582466067,4.316051613261115,99.91433623999508
lobsters,831.8729840967505,0.2842362278308668,837.3247590001073,0.3055586754131546,591.6675223999846,0.520037099424606,589.3468454999947,0.7850205546878251,0.9934890556564134,0.4173204252511037,1.4059804748491502,0.5926456091033477,1.41151681806492,0.8348937085006096,99.49415677005554
mail,116.7575867142847,5.589332434652885,116.8176445594904,5.566035372751093,84.95979136185532,6.688247680827785,83.89285408769003,6.2761533875884306,0.9994858837855174,7.888053425007918,1.3742687551691157,8.716266064385653,1.3917465078997362,8.404209564831215,99.88199669137185
psych-load,1861.9927835829913,0.05394025974284766,1941.5318413636917,0.10013092849009243,1127.6022618000752,0.1288602347595532,1141.7670161000387,0.11132491348239938,0.9590328337212158,0.11373545824154348,1.651285073347187,0.13969435107910783,1.6307992412874608,0.12370443800846266,99.997923653208
railsbench,2013.419319200102,1.8098476871252285,2019.410015899984,1.5006390636914164,1182.6055372000155,0.3743621779307545,1168.440770199777,0.16241941062379434,0.997033442117889,2.351056411502963,1.7025282360567622,1.8481600825841888,1.7231676354941405,1.8171209963950996,99.80232588703487
rubocop,149.95841189119378,0.4736780534402756,149.04153055674223,0.4753503168941158,99.34378905930478,0.6651588854595617,99.1835794152567,0.8561036926876389,1.0061518513063208,0.6710654380031092,1.509489554517332,0.8165826603698948,1.5119278087691876,0.9784091326967362,99.80199094477474
ruby-lsp,143.80161378432925,0.12151886119703939,144.25772791134833,0.11914566670555023,86.78140828230048,0.2492951304904595,85.99659424241511,0.2852377691739331,0.9968381997025534,0.17018379335687459,1.6570555448528985,0.2773353488340074,1.672178009503121,0.3100442203782346,99.8185472292449
sequel,45.23165491804257,0.5372918016118585,45.34862728459561,0.5294014587846589,37.54824966354949,0.22227976725715026,37.52453039066071,0.5842401425598925,0.9974205974125976,0.754286672719757,1.2046275212117772,0.5814557377919747,1.2053889668210225,0.7937373773848125,99.33750269330677
shipit,1580.8244491817359,1.9580795580548553,1559.6495397141032,1.749481350258394,883.2267878000494,3.6814915652341376,871.2058121001974,4.71463470824119,1.013576709977752,2.62578760576217,1.7898284687665216,4.169826819013279,1.8145246820276324,5.105081388952069,99.80527895706604
