bench,CRuby 3.3.4 (ms),CRuby 3.3.4 RSD,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.3.4 (ms),YJIT 3.3.4 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,CRuby 3.4.0dev spd,CRuby 3.4.0dev spd RSD,YJIT 3.3.4 spd,YJIT 3.3.4 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,352.6030701357538,0.05310154173259418,352.7069547778332,0.03447053069930906,182.66691980700975,0.04913307280100314,185.31499874103474,0.038246698393123765,0.9997054647188774,0.0633086978311073,1.9303061030879813,0.0723452318902021,1.9027227829976834,0.06544145224819677,99.93299425598761
chunky-png,977.8227019998247,0.08118505384205088,1009.3282546800126,0.13322541754994247,550.2413101999991,0.09264809550954724,552.0173896997221,0.10665142572635238,0.968785622978348,0.15601289962273382,1.777079771863022,0.12318556152765181,1.7713621350438356,0.13403559070933496,99.99622123362165
erubi-rails,1737.3536706923355,0.30226422695432237,1778.9608634166143,0.27167244981242483,969.3436707999808,0.08689063288000061,983.8677312001892,0.13142546744227432,0.9766115187917235,0.40641060872395857,1.792298978192668,0.3145053973759133,1.7658406873177888,0.32960023724007603,99.5327345581836
hexapdf,2841.156776399998,0.4768723988463083,2806.9420466996235,0.4365050299112531,1734.6277056001782,1.7621654820719446,1701.2888413001747,2.6603035299057947,1.0121893252981848,0.6464858280884869,1.6379057980150056,1.8255504569820253,1.6700025929922062,2.702706450210726,98.24913091468275
liquid-c,66.37154618791911,0.538240342773982,66.03961724666078,0.6123398330603457,50.52227533700579,0.45555865719796884,49.20614433272729,0.8430416821171917,1.0050262093436817,0.8152685065313301,1.3137085720148531,0.7051498824629201,1.348846715953215,1.0002109499382805,99.7581191972818
liquid-compile,64.24027780734856,0.13215703489493252,64.30682938743267,0.2466964405236218,50.66101130631142,0.09713205279606457,50.7630644000023,0.17198552745280338,0.9989650931212429,0.27986535269526536,1.2680417573769478,0.16401255303359522,1.2654925104825951,0.2168974493290306,99.95838963326287
liquid-render,163.45334927935855,0.1923384817532195,169.312181289044,0.15080281882852734,75.23990230458429,0.4629333015959822,76.3606950467183,0.4093710463474097,0.965396275890608,0.24440863677407798,2.1724290472583387,0.5012996442146056,2.140542974096242,0.45230381951814924,99.89527231176415
lobsters,1232.0145486499769,0.5354478910077617,1233.1013421000534,0.6772374788948292,851.2102389000574,0.7731296373104374,867.8831752997212,0.8477698734018939,0.999118650338807,0.8633394736744545,1.4473681029048695,0.9404434486307129,1.419562659714545,1.002705441409651,99.43529259029444
mail,151.6561069999701,0.09820646651180158,149.30123232142603,0.22238669552207407,105.78807637663583,0.2194550694366951,109.11475418835239,0.23000270795945893,1.0157726406000074,0.243105640432223,1.4335841258709625,0.2404267821316882,1.3898771813955004,0.25009149472426634,99.88366408234205
psych-load,2538.028730499991,0.023346326703464124,2525.5508133997864,0.04796714200321444,1637.463774599837,0.0661427391443732,1544.1935673999978,0.2570055599898013,1.0049406715691487,0.05334695570040919,1.5499754986153718,0.0701420908732088,1.6435949378893875,0.2580637689336034,99.99731565481297
