bench,CRuby 3.3.0dev mem (MiB),YJIT 3.3.0dev mem (MiB),Inline Code,Outlined Code,YJIT Mem overhead
activerecord,54.24609375,61.0390625,1,1
hexapdf,256.92578125,330.71875,2,2
liquid-c,40.61328125,44.6796875,1,1
liquid-render,36.41015625,40.8203125,1,1
mail,48.51953125,51.50390625,1,1
psych-load,35.84765625,37.97265625,1,1
railsbench,102.81640625,117.4765625,3,3
ruby-lsp,95.109375,133.10546875,5,5
sequel,42.3125,47.94140625,1,1
binarytrees,32.1875,30.31640625,1,1
chunky_png,52.421875,46.6484375,1,1
erubi,115.2890625,138.59765625,1,1
erubi_rails,100.77734375,108.296875,2,2
etanni,145.81640625,157.0625,1,1
fannkuchredux,24.078125,24.7109375,1,1
lee,34.21875,37.2421875,1,1
nbody,23.96484375,24.52734375,1,1
optcarrot,58.4921875,61.9140625,1,1
ruby-json,24.89453125,25.51171875,1,1
rubykon,54.921875,60.23046875,1,1
30k_ifelse,65.59375,104.66015625,5,5
30k_methods,55.7734375,68.83203125,2,2
cfunc_itself,23.93359375,24.43359375,1,1
fib,23.93359375,24.44140625,1,1
getivar,23.93359375,24.43359375,1,1
keyword_args,23.93359375,24.43359375,1,1
respond_to,23.9921875,24.50390625,1,1
setivar,23.99609375,24.49609375,1,1
setivar_object,23.93359375,24.43359375,1,1
str_concat,106.6328125,115.21484375,1,1
