bench,No JIT (ms),No JIT RSD,YJIT 3.3.1 (ms),YJIT 3.3.1 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,YJIT 3.3.1 spd,YJIT 3.3.1 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,512.2831202283197,0.28302364508153477,267.29419197448914,0.3771782201881334,235.855342183485,0.4130303297775704,1.9165516334047865,0.47155677649624195,2.172022543503747,0.5006959526413282,99.93047597170914
chunky-png,1156.292005092837,0.205603484853192,695.0349433018881,0.17588756423107504,630.3486441213049,0.3006235115424553,1.6636458587242597,0.27057203890076537,1.8343689890928343,0.3642077548266834,99.9884089030492
erubi-rails,1880.2748464047909,0.2999119298810899,1106.1783571624094,0.22077971618073883,1021.8428925611079,0.3430298078811787,1.6997935588146103,0.3724122027563643,1.840082130132688,0.4556496623284145,99.84158633981913
hexapdf,3578.9925994351506,1.1474421466546803,2383.313200622797,0.9462983022809897,1972.9099497199059,2.3902117392361046,1.5016879017411155,1.4873143436474294,1.8140678949605684,2.651364863292411,98.33763670817459
liquid-c,84.3726168736557,0.5967554644685782,62.56025441403963,0.8412164785604074,58.97373363869377,0.6736216557083265,1.3486616648848055,1.0313885049653602,1.4306812824599127,0.8999351195571467,99.75406123452372
liquid-compile,86.10660052009388,0.6830930737514527,63.31245000946856,0.7507910790532734,59.13732237214413,1.1702195146379872,1.3600263535405182,1.015038615912314,1.4560449656180794,1.3550017933002059,99.95687336552155
liquid-render,210.08616325942646,0.38362138447180855,87.71042673882232,0.6108219763528291,80.49597964719844,0.6834355329882604,2.3952245026125074,0.7212966473093045,2.6098963473728993,0.7837407060852555,99.89626762122278
lobsters,1341.2841899463763,0.5926295869009541,902.2652130912651,1.4670869591891258,870.9250520104947,1.0692591217154768,1.486574202889837,1.582262295920999,1.5400684442938881,1.2225076264147183,99.1718179164071
mail,181.39763903356604,0.3659150451726771,134.51764503961772,0.36180313279058723,124.63458241045214,0.36930502073907745,1.3485044209638175,0.5145826728338272,1.4554358471405575,0.5198846204945986,99.88115156995609
psych-load,2889.811275526881,0.08239515588175124,2041.8283080682158,0.0528695704016242,1635.571701079607,0.07687294200324007,1.4153057160133833,0.09789868838360595,1.766850865430954,0.11268722609511514,99.99210355902493
railsbench,3429.445563815534,0.14849793188076058,2110.1412830874324,0.9880850910152049,1921.6386619955301,0.21222327830653864,1.6252208282460474,0.9991815565048171,1.784646422680848,0.2590180604282982,99.80793153424094
rubocop,211.2739707988042,0.9598760245241609,127.86516599919436,2.272293767422474,111.17556233142243,2.5312320245145457,1.6523184336235515,2.466714606095186,1.90036341052165,2.7071197875942454,99.86138217559309
ruby-lsp,155.74930916325405,1.0760047720740542,123.60791539845293,1.4489150693265287,104.98736097892053,4.510919705429846,1.2600269866310148,1.804755148946149,1.4835053258889472,4.637475914585588,97.56718990197456
sequel,92.96737491084745,0.7748547082596893,75.57944961623782,0.924175118659942,70.04235617745321,0.45350164120051445,1.2300615495733107,1.2060263135032858,1.3273022208920757,0.8978104240226711,98.83148679173179
binarytrees,496.20267843791083,0.9621348678124892,288.7135987823948,0.15175436028271874,224.05451040474637,2.0476734152232567,1.718667497930715,0.9740292037333241,2.2146515932285347,2.2624477716121167,99.99154117446759
blurhash,454.1747734081327,0.14088429043053735,222.0921456104233,0.292282579170553,195.58633155085974,0.28274590126144783,2.0449835006988972,0.3244649278068534,2.3221191880171355,0.31590129466379907,99.98825721645501
erubi,319.77329531773216,0.14086969927908832,282.0202628553835,0.14944367629287228,258.6778693850029,0.1674221569169356,1.1338663827914661,0.2053720637255943,1.2361834279754251,0.218802309863721,99.9750465598676
etanni,881.1166377365589,0.10573108221157047,422.62971569453515,0.17398137128106758,817.9412291005806,0.0939595918680177,2.0848430789788694,0.2035892416078771,1.077237100158708,0.14144775236685217,99.9467087320694
fannkuchredux,2389.186042547226,0.09223352935544366,944.079731724092,0.12182637025141631,799.842563807033,0.048796645921486026,2.5307036707419406,0.15280277623785718,2.9870703944228105,0.10434623419437986,74.28186568945546
fluentd,2589.737332239747,0.9148312991755758,2745.5059258267283,1.0162799941502252,2383.8457765057683,0.8748670099037941,0.9432641568456728,1.3673848516278266,1.0863694949409746,1.2658232858378287,99.97567563950795
graphql,4337.089243903756,0.13513484594479167,4014.100286178291,0.05607801078804953,3583.2945125177503,0.06040330103964142,1.0804635994864427,0.14630847508762837,1.2103635994062802,0.14802021944656116,99.44085310800637
graphql-native,676.2662933341095,0.12532146519191392,661.683392452283,0.09371108005138053,604.3798896949738,0.12335029619328841,1.0220390915778925,0.15648398052914023,1.1189424149691947,0.1758430129655997,99.94831299664929
lee,1492.487858980894,0.6757271752787499,1189.9514100514352,1.457774278487476,1047.3194627189323,0.8481000800006012,1.2542426912342428,1.6067710049754693,1.425055021040348,1.084380450352746,99.95542874492
matmul,2003.8813160732388,0.07638921539290398,1246.3540031264226,0.13474287392566117,1187.0128689333797,0.10255899702824207,1.607794664314146,0.15489013623239573,1.6881715173601082,0.12788142984727083,99.64085776527683
