bench,No JIT (ms),No JIT RSD,YJIT 3.3 (ms),YJIT 3.3 RSD,YJIT 3.4dev (ms),YJIT 3.4dev RSD,YJIT 3.3 spd,YJIT 3.3 spd RSD,YJIT 3.4dev spd,YJIT 3.4dev spd RSD,% in YJIT
binarytrees,507.953625805676,1.0239048986003227,288.69021507574524,0.1607014704418892,226.539158497036,2.149722132634885,1.759511058150694,1.0364391945405782,2.242233215553866,2.3811103479087263,99.99154103741368
blurhash,449.5764802814576,0.05956597054717314,222.0434954478627,0.2695612166745398,196.25675947880828,0.30158831531542296,2.024722585881923,0.2760640403643417,2.290756667313681,0.30741440561890016,99.9882570685793
erubi,318.9599378801444,0.14854632173661683,282.1565971124111,0.1537673163401664,258.65060909879656,0.15814998849411516,1.1304358683949924,0.21379990008401614,1.2331690963013024,0.21697333606267669,99.97504995098306
etanni,863.7022660672665,0.08700078033143878,421.79186957617924,0.18363575133854476,813.4941376607727,0.09322146105594024,2.0476977589329146,0.20320242357794632,1.0617191029192525,0.1275122605073075,99.94670809569213
fannkuchredux,2371.0442636162043,0.05943790455966288,943.8732371532491,0.08400455197488436,821.2889712303877,0.03770762767059136,2.5120367548160885,0.1029059242752556,2.8869793053035893,0.07038984076546516,74.28186545200764
fluentd,2576.1427653953433,0.7932387509389507,2751.4105187729,1.0513776297982367,2398.382494598627,0.8790415609874633,0.9362989447842468,1.317050734190352,1.074116731254105,1.184036224924923,99.97567150012122
graphql,4327.271389588714,0.04357837126829204,4011.4750320091844,0.0658102648821055,3642.592078819871,0.08741624521560533,1.0787232514373546,0.07893076337050078,1.1879648601746988,0.09767637570053439,99.44086278315294
graphql-native,686.9115193429238,0.24603542518438754,659.3863696584272,0.1050227473470505,614.4784194632218,0.12559415020659057,1.0417435830509434,0.2675130051156107,1.1178773697910758,0.2762377979418783,99.94834061059527
lee,1482.118477367542,0.6039688655420077,1189.777685329318,1.4924961495181752,1018.2522341609001,0.8077833887922939,1.2457104345147532,1.6100692987789933,1.4555514121595765,1.0086091382457638,99.95549854641273
matmul,2111.8029294535518,0.1058922842432832,1245.7464126249154,0.10777519793498973,1204.172174880902,0.10584416618689425,1.6952109257965002,0.1510915919308103,1.7537383552833037,0.1497202837896695,99.64085773810521
nbody,143.9967918017851,0.017157990071569477,64.67147306887851,0.05814404832240695,62.86078171295106,0.2999597087567754,2.2265890193721263,0.06062282555782493,2.2907254392625185,0.3004500349488174,99.78925732621524
nqueens,265.2814430721964,0.19828644354242747,249.65417752596173,0.2884793901865191,68.24434352200036,0.16774284733053438,1.0625956501152862,0.35005409904054857,3.8872297597335073,0.259721343988628,94.6108048439289
optcarrot,7376.528915204108,0.4083549590482218,2349.3344934657216,0.4223229988354085,2078.1429978087544,0.7467466778835251,3.1398376585882857,0.5874610522618562,3.5495771575787147,0.851107733197952,99.49147772551876
protoboeuf,160.4451856307559,0.2674333159087039,54.4812369470795,0.3898264492270799,38.78190513123364,1.1399159564445411,2.9449622406078038,0.4727422542727884,4.137114592174553,1.1708667585232735,99.98814956384798
rack,64.4803665161721,0.7505368401315872,38.96832173249047,1.0424549837483255,35.31933739293544,1.018578596935107,1.654686772471665,1.2845302415811115,1.8256391901924365,1.265230376859882,99.8718214065136
ruby-json,4379.750357195735,0.02418379900367581,3775.151665508747,0.05623671029107305,3812.9474317654967,0.07416968491265831,1.1601521595041695,0.061216204706043914,1.1486521740919446,0.07801280852714639,99.982598246429
rubykon,13979.788185842335,0.4113868233847396,7356.321349367499,1.7404237775996303,6764.742779545486,0.7481156221505625,1.9003775830217537,1.7883830809110095,2.0665661121828522,0.853765835906023,99.94793348387742
sudoku,2156.5806610509753,0.1842164905413634,839.234785678295,0.03237141645172951,792.7061510937555,0.09689179489675978,2.569698846917983,0.18703909749158742,2.720529742421427,0.20814354495321732,99.71182766857417
tinygql,950.5209872837771,0.08284614249941485,548.1664938645231,0.11816060926466285,496.4223024161423,0.1100850003737665,1.7340005234225317,0.1443101275338279,1.9147427153403185,0.13777587101639216,99.98272202572852
30k_ifelse,2500.679837912321,0.1114671086286147,360.32858192920685,0.08386518120845965,358.45098077831136,0.08704473888945345,6.939998554995633,0.13949295654315727,6.976350943391333,0.14142737667918653,99.93971107562282
30k_methods,6827.288105525076,0.02475387830317431,838.459826217821,0.027403829078226263,833.8928212626622,0.04752039734793996,8.142653818397061,0.03692863846931001,8.187248926291687,0.05358117817997718,99.97606809861966
cfunc_itself,115.7297524958849,0.08650621119155645,26.80364433692861,6.722673562125976,24.432928230699535,8.10163741943403,4.317687216004382,6.723230112637993,4.736630476836278,8.10209924652546,94.96232142972092
fib,255.67477982905177,0.19868208697254913,47.96799175840403,0.20650166294671213,47.829257309268016,0.04044588041716366,5.330112236442697,0.2865615265235812,5.345572860892174,0.2027570983381028,99.9938546772896
getivar,112.73029345859581,0.3824280902529725,22.587439035115715,49.093649313517695,21.00325235724449,51.195077519498845,4.990839965670252,49.09513880378455,5.367277959678117,51.19650587170682,76.32334844452022
keyword_args,319.87400295301563,0.02758384240328043,40.90544025461485,5.190011419941527,31.264058045215076,7.3293671062184815,7.819840123024424,5.190084720646205,10.231365438562188,7.329419011496014,96.19196828651079
respond_to,292.01058554713444,0.41829618041610583,17.19390589385983,7.740424624599486,13.820982438054068,11.068964914694638,16.983376979596894,7.751718845756521,21.12806284617841,11.076865801177314,95.3194634115226
ruby-xor,778.4966340866582,1.2840260727673398,288.3092149699989,0.2117143005370889,194.5121494988943,0.11369374457630893,2.70021419248659,1.3013630932980336,4.002303383579048,1.2890497364733842,99.99228994371306
setivar,75.37949945988882,0.021304814220119987,12.466517398332028,42.436832771772686,8.214725265674328,59.894542853053885,6.046556311706933,42.436838119663314,9.176143695866022,59.89454664217284,85.0915735845778
setivar_object,113.19474130868912,0.045840653724009923,61.14364042878151,36.104103216098025,39.31022369790645,30.65142152185139,1.8512921460823935,36.104132317564336,2.879524221957494,30.651455800267442,81.9430361538957
setivar_young,113.24963309601242,0.26837564963918936,57.650241086226025,29.924480921569266,39.15662653138482,30.79289890204795,1.9644260104069255,29.925684351651547,2.8922213971941777,30.794068394433772,81.94303653186266
str_concat,84.68166557883006,0.9043545261784419,46.264651304455384,1.3272555864659727,48.30819312574528,1.3664699666747877,1.830375096130359,1.6060711381581352,1.7529462416117563,1.6386266441272181,99.89154014397674
throw,31.609921153397003,0.1953655146766539,25.59208430298576,0.25905155891971154,25.636492170310042,0.30236749641928157,1.2351444602622366,0.3244616995942767,1.2330049268598793,0.35999137102955414,99.98265192208382
