bench,CRuby 3.3.4 (ms),CRuby 3.3.4 RSD,CRuby 3.4.0dev (ms),CRuby 3.4.0dev RSD,YJIT 3.3.4 (ms),YJIT 3.3.4 RSD,YJIT 3.4.0dev (ms),YJIT 3.4.0dev RSD,CRuby 3.4.0dev spd,CRuby 3.4.0dev spd RSD,YJIT 3.3.4 spd,YJIT 3.3.4 spd RSD,YJIT 3.4.0dev spd,YJIT 3.4.0dev spd RSD,% in YJIT
activerecord,512.4632350492234,0.25735602932635754,511.9391480574802,0.29103097222363244,243.96771321122625,0.5489882023544859,231.45619000618657,0.4262401257925724,1.0010237290774338,0.38849858767318796,2.1005371092097533,0.6063168908706394,2.2140830842999955,0.4979083958584118,99.9269473716223
chunky-png,1104.2318851169612,0.11952411531980368,1095.828116354015,0.22628126372117618,666.2920140794346,0.2297910257789912,595.3465199506865,0.2877636091262822,1.0076688749243876,0.25590862520484575,1.6572791835762808,0.25901723817449435,1.8547717138053088,0.3115989551978078,99.9886522056611
erubi-rails,1812.8569431602955,0.1704611247734981,1895.1246954500675,0.2748761798023651,963.2343219762498,0.3114893257594444,996.72622513026,0.47782881506278696,0.9565897945991176,0.3234407353469693,1.8820518557113817,0.35508111062279746,1.8188113219589233,0.5073237344766685,99.84494079605689
hexapdf,3549.8164046555758,0.8366782524738334,3494.9302785098553,1.036255777187157,2139.6295432001352,1.3666923977260956,1916.077833250165,2.0798167019781575,1.015704498165017,1.3318620551380036,1.6590799168655597,1.602460173659543,1.8526472897158706,2.241800172180823,96.67105317324182
liquid-c,85.64098168415758,0.4666105051799825,84.14398160593997,0.9042120927273989,59.050920610147784,0.6586002518971861,57.55145087429922,0.7940681141782211,1.0177909346532745,1.0175091509066543,1.4502903731096166,0.8071428964832407,1.4880768492042016,0.9210154903685794,99.75429478042942
liquid-compile,84.93127573151574,0.8966661735595948,83.36908708725657,2.2186279744809254,58.60147044151665,0.6040233431828687,58.06540456331766,0.7711838236758166,1.0187382241888308,2.3929731122508127,1.449302809155204,1.0811357111462996,1.4626829240275436,1.1826811559779156,99.95883980883274
liquid-render,206.7042616305544,0.2856234580283773,207.10288181349082,0.37120489250437777,82.18870107346856,0.46525328978032504,80.024225483802,0.5108303861115676,0.9980752552574551,0.46837360300861836,2.5149960874278965,0.5459316655292156,2.583021083689141,0.5852592956553372,99.89487084036696
lobsters,1267.825205677322,0.9289342946073315,1316.2094924885494,1.0726964409780304,838.0639093617598,1.712917363164497,854.8847399652004,1.5254227800435858,0.9632396764440989,1.419012536302817,1.5128025339294868,1.9485904692182074,1.4830364216454852,1.7860105211262116,99.20654604604867
mail,177.94788077096396,0.22639127693150526,175.8850303478539,0.3771736018955511,122.54806241827973,0.33472265532215517,121.2582910576692,0.43442458607658485,1.0117284024628492,0.4399010527806693,1.4520660486951982,0.4040943779076762,1.4675110396066342,0.4898752200902691,99.88093775631833
psych-load,2833.0854028463364,0.0536849978319842,2788.70248273015,0.04034364142207964,1795.4087771475315,0.07142326278977627,1637.9024159163237,0.0774993421268681,1.0159152582217144,0.0671542135343233,1.5779612080026817,0.08934965841992676,1.7297034153657855,0.09427739401530731,99.99226634754376
railsbench,3346.7625748366117,0.10828014427046301,3456.9326911121607,0.12751835078953788,1913.9941211789846,0.24668819588476554,1934.4652462750673,0.38908777435152647,0.9681306736000969,0.16728873073616143,1.748575159037097,0.2694061165454726,1.7300711818322974,0.4038736012579389,99.80936898564957
rubocop,204.101071148007,0.7838755958595695,208.93741498580417,1.7261012801110813,115.95808165305752,2.3388367105992534,113.57434017861144,4.856819422972438,0.9768526673974322,1.8957548836770297,1.7601280414302662,2.4667018686154454,1.7970702786124904,4.9196702996386374,99.86026952417214
ruby-lsp,218.6476239773232,0.700073681504729,219.2956327688037,1.0436590051504169,129.851924831217,1.1204514058128772,128.26674035540572,0.9378873987776488,0.9970450447038146,1.2567128862899204,1.683822740875993,1.321179212795765,1.7046322637613396,1.1703571815140408,99.75332525403873
sequel,91.79549363415325,0.3881871047692391,90.88831181373924,0.4464356652950597,69.77674312712182,0.5802339942294102,66.94031935312482,0.6031091818241506,1.009981281446542,0.5916029340330952,1.3155600207208993,0.6981122519828308,1.3713034912473594,0.7172376966597062,98.82335881468128
binarytrees,497.13534737626713,1.1148317652615742,488.27319814322084,0.13052244381575004,234.83868176906796,2.54135335410823,242.67164987038103,0.24919344293223508,1.018149980926143,1.1224464232986238,2.116922747271816,2.7751264359076306,2.048592605035667,1.1423428718369362,99.99028622858592
blurhash,416.42807761118524,0.04907042027254798,431.5929081911842,0.2812865818933104,231.93465657532215,0.19540628271071026,194.76943015534846,0.23994797478423527,0.9648631145410727,0.28553466917162,1.795454304932423,0.2014733765750267,2.138056661556392,0.24491414158594538,99.98758687081292
erubi,333.124144255747,0.11491691243818387,280.54317901122204,0.15544856721566389,262.58696487971713,0.15166748278276107,225.4005882047838,0.1637071391170135,1.1874255700311347,0.19331361517939702,1.26862407053732,0.19028642121282419,1.477920474427036,0.20001480985717643,99.97705120876694
etanni,435.1549729452295,0.09271619938597644,400.17331781295627,0.10881935439390582,384.0253555580326,0.11201170808385802,345.9561249458945,0.12287863659340272,1.0874162608428177,0.14296134274441677,1.1331412539489736,0.14540603968351368,1.2578328336094213,0.1539332743744304,99.9733576398825
fannkuchredux,2193.67548301816,0.07072576896477349,2176.770033314824,0.3067763817051302,829.1538607548265,0.04104760680863633,733.1640476360917,0.06356503773002607,1.0077663002726989,0.31482357403433164,2.64567963420098,0.08177432616888337,2.992066359624603,0.09509284104115386,74.26182236332151
fluentd,2524.677738174796,0.7047708772638668,2443.2070430368185,0.6953744610489497,2325.9699810296297,0.9922804311587649,2266.8648164719343,0.9029129627528959,1.033345800704926,0.9900745580603502,1.0854300609061194,1.2170959056294228,1.113731052610412,1.1454055210913263,99.97482875298908
graphql,4258.887662366033,0.10730536953074778,4350.11536590755,0.033240749506652754,3494.2311860620975,0.04449334465633356,3539.4760336726904,0.051687185091078974,0.9790286703068886,0.11233605724741441,1.2188339682142446,0.1161641082642897,1.2032537081334194,0.11910502689966443,99.44102073516807
graphql-native,780.6069922858271,0.7006495470970764,741.1165402060554,0.7694104897489442,741.2976590135405,1.39313978956256,666.8886327317783,0.6992938761768452,1.0532850772279243,1.0406259124118755,1.053027731565477,1.5594063810019991,1.1705207645963673,0.9899099520187558,99.94684041993466
lee,1458.0416144295173,0.912541191554432,1405.111135604481,1.0487869028065835,1048.6186995710198,1.2883115536680108,978.6359848720687,1.4708813555288838,1.0376699589689506,1.390210557355327,1.390440219143516,1.5787584000087114,1.489871246273576,1.7309602503599177,99.95634410181461
matmul,2116.7779564857483,0.06130168988325822,1920.8097159862518,0.08549560193009463,1227.1177199979622,0.10920957423384157,1083.0436328219043,0.2682953640616726,1.1020237657423944,0.10520168787587186,1.7249999099428401,0.1252382860265986,1.9544715395910843,0.2752095557198707,99.6408026534714
nbody,141.28858456617505,0.014445610039134074,141.06270564453942,0.02898503602585271,69.71376696313928,0.04596360894151476,57.239821934456494,0.29799945564710606,1.001601266051176,0.03238530473567774,2.0266955971677807,0.048180172232270266,2.4683617067844854,0.29834937776937676,99.78460752406714
nqueens,243.38311849063948,0.5355958624142274,240.27077775934467,0.12637590846317726,245.55130325983055,0.4866319337411539,65.78816703450707,0.17634251355808692,1.0129534717468311,0.550303369129368,0.991170135363131,0.7236529325387239,3.6994968770444796,0.5638790738475974,94.62042263823274
optcarrot,7687.5161577016115,0.39379622086240795,7316.4048828184605,0.42241900232848284,2091.2442557513714,0.47519501052113533,2033.9528519660234,0.7893035220848261,1.0507231735841538,0.5775060840317661,3.67604890560215,0.6171594296368615,3.7795940797107668,0.8820858878482446,99.49200078154692
protoboeuf,157.57354507377136,0.26763705326794646,158.81514515956687,0.27761919008243663,51.55964880869105,0.38206140093370156,43.212482422503115,10.067769131094929,0.9921821052737254,0.38561899199077027,3.056140775094075,0.466476694343214,3.646482132943007,10.071325874447211,99.9876421937689
protoboeuf-encode,222.68491902947426,0.6255234160621326,174.43753882414765,1.1215110096556686,102.47302380499065,0.9769931576748399,45.986999812712924,2.0918387098640525,1.2765882878797397,1.2841598377230605,2.173107719093472,1.1600841237537451,4.842345009163087,2.1833617959760456,99.98722133684831
rack,63.694240844560035,0.5462522248712489,63.88591637268014,0.6843023334236459,35.58090537571821,0.8175967442571954,32.237613383356646,0.9643345542731694,0.9969997217070197,0.8755919007767466,1.7901242301728346,0.9832883246519076,1.9757740775389887,1.1083016853465584,99.87180151503215
ruby-json,4075.53295455873,0.46864543399803943,4056.2210883945227,0.08751745140914251,3531.0037322342396,0.1424111309002118,3461.626708135009,0.0447370083462294,1.004761048706014,0.47674715217645747,1.154213720408599,0.4898055461216093,1.1773461722435319,0.47077589437330086,99.98265608761672
rubykon,13599.01302345097,0.4475882668249159,14281.761022657156,0.6086670629218147,6558.730224519968,0.597533039202138,6534.146003052592,0.7235094491322266,0.9521944108907126,0.7555202512740479,2.073421616368781,0.7465795265994615,2.08122270562945,0.8507650554547654,99.94793982399443
sudoku,2091.038543358445,0.022185253560617457,2020.4739321023226,0.016882014913464024,803.3071069845131,0.05357229179429032,711.7768410826102,0.06529116982774424,1.0349247818222032,0.027878090018638498,2.6030375247243493,0.05798427307159654,2.9377726594447533,0.06895739505683368,99.71178433713717
tinygql,925.9043928721677,0.10066626485246699,933.7605743304542,0.09941708049231492,489.9522973797642,0.0908764591175158,484.358864908035,0.14735396540354284,0.9915865140655358,0.1414830476522274,1.8897847766483582,0.1356179475625721,1.91160823090947,0.17845696399831398,99.98234820281128
30k_ifelse,2535.0646693259478,0.08462250229826819,2605.7971574366093,0.09454354466463818,360.4369415236371,0.09161954902874585,393.43946751567626,0.10067758923266575,0.9728557198288439,0.12688360703012364,7.03330978952861,0.1247201253184552,6.443341043879744,0.1315178500011378,99.93870353163996
30k_methods,7117.613506317139,0.06588316643136187,7273.820120468736,0.0262237006999552,835.6270235604965,0.027823791302065717,844.2099642753601,0.053414972661762615,0.9785248175560423,0.07091032433590583,8.517691871655762,0.07151751520741918,8.431093931030114,0.08481598271245447,99.9759226341191
